min_hold_minutes,stop_loss_pct,take_profit_pct,horizon_minutes,passes,score,overall_trades,overall_win_rate,overall_profit_factor,overall_avg_return,overall_avg_hold_minutes,overall_median_hold_minutes,overall_min_month_trades,overall_avg_month_trades,QQQ_trades,QQQ_win_rate,QQQ_profit_factor,QQQ_avg_return,QQQ_avg_hold_minutes,QQQ_median_hold_minutes,QQQ_min_month_trades,QQQ_avg_month_trades,SPXW_trades,SPXW_win_rate,SPXW_profit_factor,SPXW_avg_return,SPXW_avg_hold_minutes,SPXW_median_hold_minutes,SPXW_min_month_trades,SPXW_avg_month_trades,SPY_trades,SPY_win_rate,SPY_profit_factor,SPY_avg_return,SPY_avg_hold_minutes,SPY_median_hold_minutes,SPY_min_month_trades,SPY_avg_month_trades
20,1.0,0.5,180,False,-15.662203696904452,374,0.5561497326203209,0.7414564772174849,-0.09500191414879042,105.81550802139037,103.5,55,62.333333333333336,119,0.5798319327731093,0.8212669411032341,-0.06105835137093552,102.15966386554622,73.0,18,19.833333333333332,132,0.5606060606060606,0.7496354892753614,-0.09292602868561452,104.24242424242425,100.5,18,22.0,123,0.5284552845528455,0.6651655847494361,-0.1300694007480096,111.04065040650407,132.0,19,20.5
20,0.8,0.75,180,False,-16.87123239904575,374,0.4625668449197861,0.8334694194825012,-0.06745968773194924,84.68716577540107,74.0,55,62.333333333333336,119,0.5042016806722689,0.9774807228036105,-0.008375820997682725,83.27731092436974,71.0,18,19.833333333333332,132,0.4696969696969697,0.8547526448990798,-0.059188461923151796,78.4469696969697,69.5,18,22.0,123,0.4146341463414634,0.6928037645854853,-0.13349856535909538,92.7479674796748,81.0,19,20.5
20,1.0,0.75,180,False,-17.361169940148724,374,0.47593582887700536,0.8190251849318195,-0.07601447374854711,120.81550802139037,180.0,55,62.333333333333336,119,0.5126050420168067,0.9353390465639929,-0.025200752743499023,115.2016806722689,180.0,18,19.833333333333332,132,0.5,0.8803833488581537,-0.04966348466311873,117.46969696969697,170.0,18,22.0,123,0.4146341463414634,0.662385845035266,-0.15345482625974444,129.83739837398375,180.0,19,20.5
20,1.0,1.0,180,False,-18.30872454160296,374,0.4304812834224599,0.8985846413547808,-0.04567433418360044,129.86898395721926,180.0,55,62.333333333333336,119,0.4789915966386555,1.0678069062293625,0.02767555407894552,124.6890756302521,180.0,18,19.833333333333332,132,0.44696969696969696,0.9428532676236289,-0.026046649240733456,126.8409090909091,180.0,18,22.0,123,0.36585365853658536,0.7163107859853807,-0.13770271723808344,138.130081300813,180.0,19,20.5
0,0.6,1.0,180,False,-19.125615958185932,374,0.3850267379679144,1.0269587375643543,0.009746677924309118,59.43582887700535,46.0,55,62.333333333333336,119,0.42857142857142855,1.1941550465401107,0.06606292312300459,57.554621848739494,45.0,18,19.833333333333332,132,0.38636363636363635,1.0541625134365247,0.01955045671419458,58.71969696969697,46.5,18,22.0,123,0.34146341463414637,0.8556273491186818,-0.055259273123736755,62.02439024390244,46.0,19,20.5
20,0.8,1.0,180,False,-20.78996938704846,374,0.41711229946524064,0.911963263225832,-0.03825746923974875,92.3529411764706,79.0,55,62.333333333333336,119,0.47058823529411764,1.113296564885975,0.044253896388653687,92.08403361344538,77.0,18,19.833333333333332,132,0.4166666666666667,0.9125206119793322,-0.03900240744638937,85.16666666666667,73.5,18,22.0,123,0.36585365853658536,0.7477627739026395,-0.11728609254465383,100.32520325203252,85.0,19,20.5
20,0.6,0.75,180,False,-24.82658961875932,374,0.4144385026737968,0.8821516367876179,-0.04067685647979772,56.61764705882353,41.0,55,62.333333333333336,119,0.44537815126050423,0.9947203495939249,-0.0017447756883586212,54.890756302521005,40.0,18,19.833333333333332,132,0.4318181818181818,0.9586951274319493,-0.013782876619138762,54.84090909090909,39.5,18,22.0,123,0.36585365853658536,0.7115763439924845,-0.10720468538864521,60.19512195121951,44.0,19,20.5
10,0.6,1.0,180,False,-25.428083237098853,374,0.3770053475935829,0.9955234727280133,-0.0016334819408732014,60.68449197860963,47.0,55,62.333333333333336,119,0.4117647058823529,1.1265053120892046,0.043742084555120665,59.99159663865546,47.0,18,19.833333333333332,132,0.38636363636363635,1.0541625134365247,0.01955045671419458,58.79545454545455,46.5,18,22.0,123,0.3333333333333333,0.8238862706299191,-0.06826740320503756,63.38211382113821,47.0,19,20.5
30,0.8,0.5,180,False,-27.802350018851346,374,0.5026737967914439,0.6494711795545322,-0.13316809808026342,79.57486631016043,63.5,55,62.333333333333336,119,0.5294117647058824,0.7206522581007334,-0.10023344199131248,80.52100840336135,61.0,18,19.833333333333332,132,0.49242424242424243,0.6252756286974853,-0.14631540749031732,75.77272727272727,62.5,18,22.0,123,0.4878048780487805,0.6120113845410191,-0.15092240078317445,82.73983739837398,67.0,19,20.5
30,1.0,0.75,180,False,-29.848690081828142,374,0.45187165775401067,0.7419426438002719,-0.11337499854393143,127.05614973262033,180.0,55,62.333333333333336,119,0.47058823529411764,0.78610972782462,-0.09061136260156376,125.21008403361344,180.0,18,19.833333333333332,132,0.4696969696969697,0.7802431473659021,-0.09654964905981595,124.50757575757575,180.0,18,22.0,123,0.4146341463414634,0.662385845035266,-0.15345482625974444,131.5772357723577,180.0,19,20.5
30,1.0,0.5,180,False,-29.995163433906423,374,0.5133689839572193,0.6323522871554857,-0.14596441385179046,115.18449197860963,155.0,55,62.333333333333336,119,0.5378151260504201,0.6890771224924926,-0.11711357179603368,112.01680672268908,127.0,18,19.833333333333332,132,0.5151515151515151,0.6326736430421579,-0.14834729869875773,113.9469696969697,127.5,18,22.0,123,0.4878048780487805,0.5815181954795039,-0.17131977486671218,119.57723577235772,180.0,19,20.5
