ticker,trade_date,source_sha256,underlying_rows,required_window_minutes,expected_required_window_minutes,out_of_scope_invalid_rows
SPXW,20230126,f3af38275a7488bcd3090594a2e026d563a110db503a5c977edacac30f9195b6,391,390,390,0
SPXW,20230127,493c7ddcf3f07b95d08ffd27afa56983a507e5265ed4fa18a0eb0311045293f3,391,390,390,0
SPXW,20230130,b98596694b9158dbae996778a1d68ebfa5e37e4f8813ef6de152852bc71e4b89,391,390,390,0
SPXW,20230131,c4e7b3424f6549e140633735ae989dd407dcef795018e6d11090a0ff4819c5de,391,390,390,0
SPXW,20230201,ad26f5e5c0891602f065bf3ce5398476f0c8c53e051fba23a433b4a67841fe4f,391,390,390,0
SPXW,20230202,839b37db2c0fb1c0687b68c9ffc2800fe5ed712ffcff6a5d8bfe8b764466aa31,391,390,390,0
SPXW,20230203,13df5334b124d98323becc9224e9f4a4f9913e3903726aeafe1b66f66e98e784,391,390,390,0
SPXW,20230206,911372b8dc410216fce8295fd66a8735fcc388eca732fb498002a78b36af8e4d,391,390,390,0
SPXW,20230207,42e79e83f3d1aef4b4696e61b0c84390cd09702ed67591730a6ade1c0daedd5c,391,390,390,0
SPXW,20230208,50d218a8ba51e0167b9f483c15c8b07ca0c15f14063284616a75118f385ff9e9,391,390,390,0
SPXW,20230209,9bd905b78352626fb53ca4163b2a5d7960efdaaea2e308e9bf4d6b73f9ec7baf,391,390,390,0
SPXW,20230210,4604517b36157765da5ca47aebfa07ea8c7b7b37f06b4662933bdbc4743771d3,391,390,390,0
SPXW,20230213,2b373637918ead33f39ebeadf294b4ba3d379dd6f8b41da1ac6c3480c771f844,391,390,390,0
SPXW,20230214,a41c62fefed05fee58cd5bc8d2c176ddbc9b85edc371929cfa9f909fdc26932a,391,390,390,0
SPXW,20230215,d1ca3ffe2d6cb96cf6ae5e369cd9918798d3691968dc3138a46c581668b999f0,391,390,390,0
SPXW,20230216,64fd6b433265a77ecf3c957d7910442428934b3e64b3046e21eaf01a24e2cb04,391,390,390,0
SPXW,20230217,8f66fef357a8c9ac76ae9774bf7a6f94ac19adf29e6e66a6601fda0a14535833,391,390,390,0
SPXW,20230221,c288d8cdf06578a45687ee201842f5dd5e31d5062c9f36d7a81b1fd94631a244,391,390,390,0
SPXW,20230222,04c563ef48c6312cfddea9e260d590b2607d217f8be956222e8d6202f5ded7f2,391,390,390,0
