ticker,year,month,feature,rows,finite,missing_rate,zero_rate_finite,distinct_finite,minimum,maximum
QQQ,2023,202311,qsize_call_local_signable_fraction,70,67,0.042857142857142816,0.0,5,0.7272727272727273,1.0
QQQ,2023,202311,qsize_call_local_qimb_change_1m,70,67,0.042857142857142816,0.0,67,-0.9065062215642248,1.3114747710890318
QQQ,2023,202311,qsize_call_local_log_bid_depth_change_1m,70,67,0.042857142857142816,0.0,67,-1.3746543972522591,1.375757328306749
QQQ,2023,202311,qsize_call_local_log_ask_depth_change_1m,70,67,0.042857142857142816,0.0,67,-1.2858343103111682,0.8060171182399021
QQQ,2023,202311,qsize_call_relative_qimb_change_1m,70,67,0.042857142857142816,0.0,67,-0.70620668405182,0.9623111832155677
QQQ,2023,202311,qsize_call_local_signable_fraction_change_1m,70,67,0.042857142857142816,1.0,1,0.0,0.0
QQQ,2023,202311,qsize_call_local_qimb_change_5m,70,67,0.042857142857142816,0.0,67,-0.9703716720640868,1.0961230548959575
QQQ,2023,202311,qsize_call_local_log_bid_depth_change_5m,70,67,0.042857142857142816,0.0,67,-1.5831749012851422,1.448545902349501
QQQ,2023,202311,qsize_call_local_log_ask_depth_change_5m,70,67,0.042857142857142816,0.0,67,-1.134757157803719,1.036672989227819
QQQ,2023,202311,qsize_call_relative_qimb_change_5m,70,67,0.042857142857142816,0.0,67,-0.8223535950133104,0.6913780809209334
QQQ,2023,202311,qsize_call_local_signable_fraction_change_5m,70,67,0.042857142857142816,0.9701492537313433,2,-0.09090909090909094,0.0
QQQ,2023,202311,qsize_call_local_qimb_change_15m,70,67,0.042857142857142816,0.0,67,-0.9339201731784178,0.8778669183577159
QQQ,2023,202311,qsize_call_local_log_bid_depth_change_15m,70,67,0.042857142857142816,0.0,67,-1.8866582110508503,1.9285818540942437
QQQ,2023,202311,qsize_call_local_log_ask_depth_change_15m,70,67,0.042857142857142816,0.0,67,-1.539920099300316,1.362172247060018
QQQ,2023,202311,qsize_call_relative_qimb_change_15m,70,67,0.042857142857142816,0.0,67,-1.385049856082913,1.026718718385938
QQQ,2023,202311,qsize_call_local_signable_fraction_change_15m,70,67,0.042857142857142816,0.9253731343283582,3,-0.09090909090909094,0.0
QQQ,2023,202311,qsize_put_local_qimb,70,67,0.042857142857142816,0.0,64,-0.6339452395768512,0.6038961038961039
QQQ,2023,202311,qsize_put_local_log_bid_depth,70,67,0.042857142857142816,0.0,67,7.796880342783522,10.958391741441599
QQQ,2023,202311,qsize_put_local_log_ask_depth,70,67,0.042857142857142816,0.0,67,8.905851181208021,11.00720346221328
QQQ,2023,202311,qsize_put_relative_qimb,70,67,0.042857142857142816,0.0,65,-0.5954837011153128,0.5701839252916678
QQQ,2023,202311,qsize_put_local_signable_fraction,70,67,0.042857142857142816,0.0,1,1.0,1.0
QQQ,2023,202311,qsize_put_local_qimb_change_1m,70,67,0.042857142857142816,0.0,67,-1.1386092787143363,0.7817910447761194
QQQ,2023,202311,qsize_put_local_log_bid_depth_change_1m,70,67,0.042857142857142816,0.0,67,-2.0447708317590987,2.3115095168500117
QQQ,2023,202311,qsize_put_local_log_ask_depth_change_1m,70,67,0.042857142857142816,0.0,67,-1.4524467277945075,0.8208051550712678
QQQ,2023,202311,qsize_put_relative_qimb_change_1m,70,67,0.042857142857142816,0.0,67,-0.6124263465901522,0.6187276146120562
QQQ,2023,202311,qsize_put_local_signable_fraction_change_1m,70,67,0.042857142857142816,1.0,1,0.0,0.0
QQQ,2023,202311,qsize_put_local_qimb_change_5m,70,67,0.042857142857142816,0.0,67,-0.9213202960213138,1.0825219492039064
QQQ,2023,202311,qsize_put_local_log_bid_depth_change_5m,70,67,0.042857142857142816,0.0,67,-2.3924250455946368,2.4351652852412187
QQQ,2023,202311,qsize_put_local_log_ask_depth_change_5m,70,67,0.042857142857142816,0.0,67,-1.3864779128463027,2.4502636611136017
QQQ,2023,202311,qsize_put_relative_qimb_change_5m,70,67,0.042857142857142816,0.0,67,-0.6109768432306205,1.0544559319666784
QQQ,2023,202311,qsize_put_local_signable_fraction_change_5m,70,67,0.042857142857142816,1.0,1,0.0,0.0
QQQ,2023,202311,qsize_put_local_qimb_change_15m,70,67,0.042857142857142816,0.0,67,-1.0260425040145411,0.8999720359313752
QQQ,2023,202311,qsize_put_local_log_bid_depth_change_15m,70,67,0.042857142857142816,0.0,67,-2.276434368964871,2.3761443252758863
QQQ,2023,202311,qsize_put_local_log_ask_depth_change_15m,70,67,0.042857142857142816,0.0,67,-1.7800356907727632,2.019784742591508
QQQ,2023,202311,qsize_put_relative_qimb_change_15m,70,67,0.042857142857142816,0.0,67,-0.8203383022295929,0.9477602342291462
QQQ,2023,202311,qsize_put_local_signable_fraction_change_15m,70,67,0.042857142857142816,1.0,1,0.0,0.0
QQQ,2023,202311,qsize_call_valid,70,70,0.0,0.04285714285714286,2,0.0,1.0
QQQ,2023,202311,qsize_put_valid,70,70,0.0,0.04285714285714286,2,0.0,1.0
QQQ,2023,202311,qsize_both_valid,70,70,0.0,0.04285714285714286,2,0.0,1.0
QQQ,2023,202311,qsize_call_shared_local_contracts,70,70,0.0,0.04285714285714286,5,0.0,14.0
QQQ,2023,202311,qsize_put_shared_local_contracts,70,70,0.0,0.04285714285714286,5,0.0,14.0
QQQ,2023,202312,qsize_call_local_qimb,81,81,0.0,0.012345679012345678,81,-0.6286472148541115,0.5418994413407822
QQQ,2023,202312,qsize_call_local_log_bid_depth,81,81,0.0,0.0,81,7.53955882930103,11.22090064308431
QQQ,2023,202312,qsize_call_local_log_ask_depth,81,81,0.0,0.0,81,9.193295937366925,11.616735779687223
QQQ,2023,202312,qsize_call_relative_qimb,81,81,0.0,0.0,81,-0.6125916207285931,0.4396547262578093
QQQ,2023,202312,qsize_call_local_signable_fraction,81,81,0.0,0.0,5,0.8181818181818182,1.0
QQQ,2023,202312,qsize_call_local_qimb_change_1m,81,81,0.0,0.0,81,-0.8203030166794048,1.1805813623909551
QQQ,2023,202312,qsize_call_local_log_bid_depth_change_1m,81,81,0.0,0.0,81,-1.591738335334699,2.5443493780736404
QQQ,2023,202312,qsize_call_local_log_ask_depth_change_1m,81,81,0.0,0.0,81,-0.7219444851527221,0.8788246087472249
QQQ,2023,202312,qsize_call_relative_qimb_change_1m,81,81,0.0,0.0,81,-0.8119520133001314,0.9328800762241398
QQQ,2023,202312,qsize_call_local_signable_fraction_change_1m,81,81,0.0,0.9876543209876543,2,-0.09090909090909083,0.0
QQQ,2023,202312,qsize_call_local_qimb_change_5m,81,81,0.0,0.0,81,-0.9919125209765605,0.6456894498690164
QQQ,2023,202312,qsize_call_local_log_bid_depth_change_5m,81,81,0.0,0.0,81,-1.4950658559510561,3.5523173386846647
QQQ,2023,202312,qsize_call_local_log_ask_depth_change_5m,81,81,0.0,0.0,81,-1.0911965908003722,3.368512946266991
QQQ,2023,202312,qsize_call_relative_qimb_change_5m,81,81,0.0,0.0,81,-0.6548616055532996,0.5524958007893034
QQQ,2023,202312,qsize_call_local_signable_fraction_change_5m,81,81,0.0,0.9753086419753086,3,-0.09090909090909083,0.0
QQQ,2023,202312,qsize_call_local_qimb_change_15m,81,81,0.0,0.0,81,-1.1174279264145048,0.7644679788700595
QQQ,2023,202312,qsize_call_local_log_bid_depth_change_15m,81,81,0.0,0.0,81,-2.907966661207186,1.0710327163444013
QQQ,2023,202312,qsize_call_local_log_ask_depth_change_15m,81,81,0.0,0.0,81,-1.061059732074149,1.2545286538806497
QQQ,2023,202312,qsize_call_relative_qimb_change_15m,81,81,0.0,0.0,81,-0.7011336017656633,0.7048042891352789
QQQ,2023,202312,qsize_call_local_signable_fraction_change_15m,81,81,0.0,0.9506172839506173,4,-0.09090909090909083,0.0
QQQ,2023,202312,qsize_put_local_qimb,81,81,0.0,0.0,79,-0.492436974789916,0.7974683544303798
QQQ,2023,202312,qsize_put_local_log_bid_depth,81,81,0.0,0.0,81,8.264620829411216,10.93133754807084
QQQ,2023,202312,qsize_put_local_log_ask_depth,81,81,0.0,0.0,81,8.103191752285786,11.094603054859508
QQQ,2023,202312,qsize_put_relative_qimb,81,81,0.0,0.012345679012345678,79,-0.4183029453015428,0.7675142642928849
QQQ,2023,202312,qsize_put_local_signable_fraction,81,81,0.0,0.0,1,1.0,1.0
QQQ,2023,202312,qsize_put_local_qimb_change_1m,81,81,0.0,0.0,80,-0.9593984962406015,1.050053961519854
QQQ,2023,202312,qsize_put_local_log_bid_depth_change_1m,81,81,0.0,0.0,81,-1.6988182913765968,1.7384102683412408
QQQ,2023,202312,qsize_put_local_log_ask_depth_change_1m,81,81,0.0,0.0,81,-2.196921959691302,0.922705523487112
QQQ,2023,202312,qsize_put_relative_qimb_change_1m,81,81,0.0,0.0,80,-0.49503246028931447,0.6305072174248381
QQQ,2023,202312,qsize_put_local_signable_fraction_change_1m,81,81,0.0,1.0,1,0.0,0.0
QQQ,2023,202312,qsize_put_local_qimb_change_5m,81,81,0.0,0.0,80,-0.777422790202343,1.357750259257
QQQ,2023,202312,qsize_put_local_log_bid_depth_change_5m,81,81,0.0,0.0,81,-1.7996476420770602,3.7292564298419197
QQQ,2023,202312,qsize_put_local_log_ask_depth_change_5m,81,81,0.0,0.0,81,-1.9798635688476747,2.549596125714899
QQQ,2023,202312,qsize_put_relative_qimb_change_5m,81,81,0.0,0.0,80,-0.6203074014650124,0.7927768013593507
QQQ,2023,202312,qsize_put_local_signable_fraction_change_5m,81,81,0.0,1.0,1,0.0,0.0
QQQ,2023,202312,qsize_put_local_qimb_change_15m,81,81,0.0,0.0,81,-0.7632352941176471,1.2915661621875467
QQQ,2023,202312,qsize_put_local_log_bid_depth_change_15m,81,81,0.0,0.0,81,-1.5437051739831666,2.5995950490698583
QQQ,2023,202312,qsize_put_local_log_ask_depth_change_15m,81,81,0.0,0.0,81,-2.396936814329658,1.6845933896875067
QQQ,2023,202312,qsize_put_relative_qimb_change_15m,81,81,0.0,0.0,81,-0.587703980194038,0.7829345840453347
QQQ,2023,202312,qsize_put_local_signable_fraction_change_15m,81,81,0.0,1.0,1,0.0,0.0
QQQ,2023,202312,qsize_call_valid,81,81,0.0,0.0,1,1.0,1.0
QQQ,2023,202312,qsize_put_valid,81,81,0.0,0.0,1,1.0,1.0
QQQ,2023,202312,qsize_both_valid,81,81,0.0,0.0,1,1.0,1.0
QQQ,2023,202312,qsize_call_shared_local_contracts,81,81,0.0,0.0,4,11.0,25.0
QQQ,2023,202312,qsize_put_shared_local_contracts,81,81,0.0,0.0,4,11.0,25.0
QQQ,2024,202401,qsize_call_local_qimb,127,126,0.007874015748031482,0.023809523809523808,122,-0.5470737913486005,0.797979797979798
QQQ,2024,202401,qsize_call_local_log_bid_depth,127,126,0.007874015748031482,0.0,126,7.660585461703256,11.459018230901318
QQQ,2024,202401,qsize_call_local_log_ask_depth,127,126,0.007874015748031482,0.0,126,7.974532844130228,11.650301955721014
QQQ,2024,202401,qsize_call_relative_qimb,127,126,0.007874015748031482,0.031746031746031744,121,-0.6969656899924155,0.5785531603945926
QQQ,2024,202401,qsize_call_local_signable_fraction,127,126,0.007874015748031482,0.0,16,0.76,1.0
QQQ,2024,202401,qsize_call_local_qimb_change_1m,127,126,0.007874015748031482,0.0,124,-0.7680629432624113,1.1363837631105138
QQQ,2024,202401,qsize_call_local_log_bid_depth_change_1m,127,126,0.007874015748031482,0.0,126,-1.34161526863201,1.504889863868513
QQQ,2024,202401,qsize_call_local_log_ask_depth_change_1m,127,126,0.007874015748031482,0.0,126,-1.2829814530369639,1.6832883503091463
QQQ,2024,202401,qsize_call_relative_qimb_change_1m,127,126,0.007874015748031482,0.0,124,-0.9481512756505512,0.6879790293809449
QQQ,2024,202401,qsize_call_local_signable_fraction_change_1m,127,126,0.007874015748031482,0.9920634920634921,2,-0.07692307692307698,0.0
QQQ,2024,202401,qsize_call_local_qimb_change_5m,127,126,0.007874015748031482,0.007936507936507936,124,-0.8453022788777849,0.8042595971255166
QQQ,2024,202401,qsize_call_local_log_bid_depth_change_5m,127,126,0.007874015748031482,0.0,126,-1.6915307895353333,3.899385346009694
QQQ,2024,202401,qsize_call_local_log_ask_depth_change_5m,127,126,0.007874015748031482,0.007936507936507936,126,-1.038365509884807,4.004240930578106
QQQ,2024,202401,qsize_call_relative_qimb_change_5m,127,126,0.007874015748031482,0.0,124,-0.9271821238390252,0.8245566490789267
QQQ,2024,202401,qsize_call_local_signable_fraction_change_5m,127,126,0.007874015748031482,0.9444444444444444,4,-0.07692307692307698,0.0
QQQ,2024,202401,qsize_call_local_qimb_change_15m,127,126,0.007874015748031482,0.0,126,-0.9256553335837224,0.850555859303809
