ticker,trade_date,month,path,bytes,calendar_half_day,eligible_fixed_180m_clock
SPXW,20241127,202411,D:\ThetaData\data_options\SPXW\greeks\2024\11\SPXW_20241127_20241127_greeks.parquet,4465161,False,True
SPXW,20241129,202411,D:\ThetaData\data_options\SPXW\greeks\2024\11\SPXW_20241129_20241129_greeks.parquet,6343738,True,False
SPXW,20241202,202412,D:\ThetaData\data_options\SPXW\greeks\2024\12\SPXW_20241202_20241202_greeks.parquet,3970515,False,True
SPXW,20241203,202412,D:\ThetaData\data_options\SPXW\greeks\2024\12\SPXW_20241203_20241203_greeks.parquet,4184273,False,True
SPXW,20241204,202412,D:\ThetaData\data_options\SPXW\greeks\2024\12\SPXW_20241204_20241204_greeks.parquet,3901723,False,True
SPXW,20241205,202412,D:\ThetaData\data_options\SPXW\greeks\2024\12\SPXW_20241205_20241205_greeks.parquet,4356314,False,True
SPXW,20241206,202412,D:\ThetaData\data_options\SPXW\greeks\2024\12\SPXW_20241206_20241206_greeks.parquet,5515277,False,True
SPXW,20241209,202412,D:\ThetaData\data_options\SPXW\greeks\2024\12\SPXW_20241209_20241209_greeks.parquet,4284257,False,True
SPXW,20241210,202412,D:\ThetaData\data_options\SPXW\greeks\2024\12\SPXW_20241210_20241210_greeks.parquet,4327046,False,True
SPXW,20241211,202412,D:\ThetaData\data_options\SPXW\greeks\2024\12\SPXW_20241211_20241211_greeks.parquet,4044132,False,True
SPXW,20241212,202412,D:\ThetaData\data_options\SPXW\greeks\2024\12\SPXW_20241212_20241212_greeks.parquet,4225729,False,True
SPXW,20241213,202412,D:\ThetaData\data_options\SPXW\greeks\2024\12\SPXW_20241213_20241213_greeks.parquet,5292507,False,True
SPXW,20241216,202412,D:\ThetaData\data_options\SPXW\greeks\2024\12\SPXW_20241216_20241216_greeks.parquet,4177660,False,True
SPXW,20241217,202412,D:\ThetaData\data_options\SPXW\greeks\2024\12\SPXW_20241217_20241217_greeks.parquet,4374891,False,True
SPXW,20241218,202412,D:\ThetaData\data_options\SPXW\greeks\2024\12\SPXW_20241218_20241218_greeks.parquet,4470487,False,True
SPXW,20241219,202412,D:\ThetaData\data_options\SPXW\greeks\2024\12\SPXW_20241219_20241219_greeks.parquet,5363398,False,True
SPXW,20241220,202412,D:\ThetaData\data_options\SPXW\greeks\2024\12\SPXW_20241220_20241220_greeks.parquet,8918760,False,True
SPXW,20241223,202412,D:\ThetaData\data_options\SPXW\greeks\2024\12\SPXW_20241223_20241223_greeks.parquet,4963680,False,True
SPXW,20241224,202412,D:\ThetaData\data_options\SPXW\greeks\2024\12\SPXW_20241224_20241224_greeks.parquet,3471403,True,False
SPXW,20241226,202412,D:\ThetaData\data_options\SPXW\greeks\2024\12\SPXW_20241226_20241226_greeks.parquet,4440356,False,True
SPXW,20241227,202412,D:\ThetaData\data_options\SPXW\greeks\2024\12\SPXW_20241227_20241227_greeks.parquet,5949457,False,True
SPXW,20241230,202412,D:\ThetaData\data_options\SPXW\greeks\2024\12\SPXW_20241230_20241230_greeks.parquet,4554079,False,True
SPXW,20241231,202412,D:\ThetaData\data_options\SPXW\greeks\2024\12\SPXW_20241231_20241231_greeks.parquet,9588663,False,True
SPXW,20250102,202501,D:\ThetaData\data_options\SPXW\greeks\2025\01\SPXW_20250102_20250102_greeks.parquet,4881470,False,True
SPXW,20250103,202501,D:\ThetaData\data_options\SPXW\greeks\2025\01\SPXW_20250103_20250103_greeks.parquet,5805610,False,True
SPXW,20250106,202501,D:\ThetaData\data_options\SPXW\greeks\2025\01\SPXW_20250106_20250106_greeks.parquet,4355036,False,True
