ticker,year,feature,rows,finite,missing_rate,zero_rate_finite,distinct_finite,minimum,maximum
QQQ,2023,qsize_call_local_log_bid_depth_change_5m,887,878,0.01014656144306647,0.0,878,-3.057953296551199,3.5523173386846647
QQQ,2023,qsize_call_local_log_ask_depth_change_5m,887,878,0.01014656144306647,0.0,878,-2.63639408440228,3.368512946266991
QQQ,2023,qsize_call_relative_qimb_change_5m,887,878,0.01014656144306647,0.0,878,-1.560105715930193,1.4305968951408894
QQQ,2023,qsize_call_local_qimb_change_15m,887,878,0.01014656144306647,0.0,878,-1.742601191313728,1.7046715758468336
QQQ,2023,qsize_call_local_log_bid_depth_change_15m,887,878,0.01014656144306647,0.0,878,-2.907966661207186,2.7307429621152064
QQQ,2023,qsize_call_local_log_ask_depth_change_15m,887,878,0.01014656144306647,0.0,878,-3.215084029705924,2.9258297653132113
QQQ,2023,qsize_call_relative_qimb_change_15m,887,878,0.01014656144306647,0.0,878,-1.4999549350412171,1.4345533945804108
QQQ,2023,qsize_put_local_qimb,887,877,0.011273957158962844,0.00798175598631699,848,-0.9195710455764075,0.9477806788511749
QQQ,2023,qsize_put_local_log_bid_depth,887,877,0.011273957158962844,0.0,865,5.986452005284438,10.958391741441599
QQQ,2023,qsize_put_local_log_ask_depth,887,877,0.011273957158962844,0.0,869,6.049733455231958,11.094603054859508
QQQ,2023,qsize_put_relative_qimb,887,877,0.011273957158962844,0.005701254275940707,866,-1.1423210935406058,1.348574237954769
QQQ,2023,qsize_put_local_qimb_change_1m,887,877,0.011273957158962844,0.002280501710376283,873,-1.5415017279296261,1.5637867544951658
QQQ,2023,qsize_put_local_log_bid_depth_change_1m,887,877,0.011273957158962844,0.0,877,-2.897742627787835,3.372830939674899
QQQ,2023,qsize_put_local_log_ask_depth_change_1m,887,877,0.011273957158962844,0.0,877,-2.2087382219782308,2.8018499950770748
QQQ,2023,qsize_put_relative_qimb_change_1m,887,877,0.011273957158962844,0.002280501710376283,873,-1.417253592698744,1.5835523433429841
QQQ,2023,qsize_put_local_qimb_change_5m,887,877,0.011273957158962844,0.0,875,-1.7128526993231774,1.5586686763157351
QQQ,2023,qsize_put_local_log_bid_depth_change_5m,887,877,0.011273957158962844,0.0,877,-2.6931607853952855,4.1769225149826825
QQQ,2023,qsize_put_local_log_ask_depth_change_5m,887,877,0.011273957158962844,0.0011402508551881414,877,-2.932927355855509,3.5605294202314104
QQQ,2023,qsize_put_relative_qimb_change_5m,887,877,0.011273957158962844,0.0,875,-1.4158240469016006,1.4754917160882135
QQQ,2023,qsize_put_local_qimb_change_15m,887,877,0.011273957158962844,0.0,875,-1.5178303906935064,1.6637570102121217
QQQ,2023,qsize_put_local_log_bid_depth_change_15m,887,877,0.011273957158962844,0.0,877,-2.7088569780721494,3.370446649115734
QQQ,2023,qsize_put_local_log_ask_depth_change_15m,887,877,0.011273957158962844,0.0,877,-3.186919427736586,2.8634816284582874
QQQ,2023,qsize_put_relative_qimb_change_15m,887,877,0.011273957158962844,0.0,875,-1.2052410313783568,1.6512258279606176
QQQ,2023,qsize_call_local_signable_fraction,887,878,0.01014656144306647,0.0,9,0.7272727272727273,1.0
QQQ,2023,qsize_call_local_signable_fraction_change_1m,887,878,0.01014656144306647,0.9931662870159453,7,-0.11111111111111116,0.27272727272727276
QQQ,2023,qsize_call_local_signable_fraction_change_5m,887,878,0.01014656144306647,0.9829157175398633,10,-0.2727272727272727,0.5454545454545454
QQQ,2023,qsize_call_local_signable_fraction_change_15m,887,878,0.01014656144306647,0.9544419134396356,13,-0.2727272727272727,0.4545454545454546
QQQ,2023,qsize_put_local_signable_fraction,887,877,0.011273957158962844,0.0,2,0.8888888888888888,1.0
QQQ,2023,qsize_put_local_signable_fraction_change_1m,887,877,0.011273957158962844,0.9988597491448119,2,0.0,0.18181818181818177
QQQ,2023,qsize_put_local_signable_fraction_change_5m,887,877,0.011273957158962844,0.9977194982896237,3,0.0,0.11111111111111116
QQQ,2023,qsize_put_local_signable_fraction_change_15m,887,877,0.011273957158962844,0.9954389965792474,5,0.0,0.36363636363636365
QQQ,2023,qsize_call_valid,887,887,0.0,0.010146561443066516,2,0.0,1.0
QQQ,2023,qsize_put_valid,887,887,0.0,0.011273957158962795,2,0.0,1.0
QQQ,2023,qsize_both_valid,887,887,0.0,0.011273957158962795,2,0.0,1.0
QQQ,2023,qsize_call_shared_local_contracts,887,887,0.0,0.010146561443066516,9,0.0,25.0
QQQ,2023,qsize_put_shared_local_contracts,887,887,0.0,0.010146561443066516,9,0.0,25.0
QQQ,2024,qsize_call_local_qimb,1142,1130,0.010507880910682998,0.11327433628318584,951,-0.8857142857142857,0.9753086419753086
QQQ,2024,qsize_call_local_log_bid_depth,1142,1130,0.010507880910682998,0.0,1096,5.869296913133774,11.459018230901318
QQQ,2024,qsize_call_local_log_ask_depth,1142,1130,0.010507880910682998,0.0,1100,6.257667587882639,11.650301955721014
QQQ,2024,qsize_call_relative_qimb,1142,1130,0.010507880910682998,0.10176991150442478,995,-0.9736842105263158,1.1086604613516795
QQQ,2024,qsize_call_local_qimb_change_1m,1142,1130,0.010507880910682998,0.030973451327433628,1085,-1.5522138680033417,1.4164133738601823
QQQ,2024,qsize_call_local_log_bid_depth_change_1m,1142,1130,0.010507880910682998,0.002654867256637168,1128,-1.496597930344982,2.1144305335299016
QQQ,2024,qsize_call_local_log_ask_depth_change_1m,1142,1130,0.010507880910682998,0.0,1130,-1.951132093036465,1.7607543910254826
QQQ,2024,qsize_call_relative_qimb_change_1m,1142,1130,0.010507880910682998,0.023893805309734513,1092,-2.335833021887847,1.4704687390319855
QQQ,2024,qsize_call_local_qimb_change_5m,1142,1130,0.010507880910682998,0.04070796460176991,1072,-1.4955357142857144,1.493530579620913
QQQ,2024,qsize_call_local_log_bid_depth_change_5m,1142,1130,0.010507880910682998,0.0008849557522123894,1130,-1.8498087095852487,3.899385346009694
QQQ,2024,qsize_call_local_log_ask_depth_change_5m,1142,1130,0.010507880910682998,0.0017699115044247787,1129,-2.5534825070904263,4.148880311062982
QQQ,2024,qsize_call_relative_qimb_change_5m,1142,1130,0.010507880910682998,0.02920353982300885,1088,-1.4456739031086583,1.4647857879481383
QQQ,2024,qsize_call_local_qimb_change_15m,1142,1130,0.010507880910682998,0.033628318584070796,1089,-1.6623031394607273,1.7758516396280934
QQQ,2024,qsize_call_local_log_bid_depth_change_15m,1142,1130,0.010507880910682998,0.0,1130,-2.294453130403978,2.2477493473178605
QQQ,2024,qsize_call_local_log_ask_depth_change_15m,1142,1130,0.010507880910682998,0.0,1130,-2.185591219551444,2.057149890627003
QQQ,2024,qsize_call_relative_qimb_change_15m,1142,1130,0.010507880910682998,0.02654867256637168,1094,-1.6666666666666665,1.4153846153846152
QQQ,2024,qsize_put_local_qimb,1142,1129,0.011383537653239961,0.14614703277236493,886,-0.910828025477707,0.9185004074979625
QQQ,2024,qsize_put_local_log_bid_depth,1142,1129,0.011383537653239961,0.0,1091,5.963579343618446,11.636990946891194
QQQ,2024,qsize_put_local_log_ask_depth,1142,1129,0.011383537653239961,0.0,1096,5.680172609017068,11.5835889402213
QQQ,2024,qsize_put_relative_qimb,1142,1129,0.011383537653239961,0.1133746678476528,960,-0.875,1.3705599123515166
QQQ,2024,qsize_put_local_qimb_change_1m,1142,1129,0.011383537653239961,0.05934455270150576,1039,-1.2907894154247939,1.3823864251538516
QQQ,2024,qsize_put_local_log_bid_depth_change_1m,1142,1129,0.011383537653239961,0.0,1128,-2.719047955311752,2.6485887758808113
QQQ,2024,qsize_put_local_log_ask_depth_change_1m,1142,1129,0.011383537653239961,0.0,1129,-2.66871603851889,1.5343597130231075
QQQ,2024,qsize_put_relative_qimb_change_1m,1142,1129,0.011383537653239961,0.046944198405668734,1055,-1.2025623086096937,2.024937003756002
QQQ,2024,qsize_put_local_qimb_change_5m,1142,1129,0.011383537653239961,0.05934455270150576,1035,-1.7422549517521584,1.6744036670462177
QQQ,2024,qsize_put_local_log_bid_depth_change_5m,1142,1129,0.011383537653239961,0.0,1129,-3.3447078268851014,2.8552685924805026
QQQ,2024,qsize_put_local_log_ask_depth_change_5m,1142,1129,0.011383537653239961,0.0,1129,-2.9565490479829517,3.706658322350612
QQQ,2024,qsize_put_relative_qimb_change_5m,1142,1129,0.011383537653239961,0.04074402125775022,1059,-1.2673848909923895,1.930700687057059
QQQ,2024,qsize_put_local_qimb_change_15m,1142,1129,0.011383537653239961,0.05225863596102746,1049,-1.5448538011695907,1.557200123342584
QQQ,2024,qsize_put_local_log_bid_depth_change_15m,1142,1129,0.011383537653239961,0.0,1129,-3.004070243671827,2.323080686709086
QQQ,2024,qsize_put_local_log_ask_depth_change_15m,1142,1129,0.011383537653239961,0.0,1129,-2.725443899725872,2.804365951853847
