ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,source_stream,source_file,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode,candidate_id
SPY,20230113,202301,11:30,690,zero_dte,PUT,0.5902947657628753,0.2820704165735732,0.5902947657628753,-0.3,-0.3,-0.3,thr0.500_maxday2,202301,690,SPY,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spy_v1\monthly_volume_backfill_trades.csv,16,0,9,17,18,False,primary,17
SPXW,20230113,202301,12:15,735,zero_dte,PUT,0.6326284277795322,0.2533590117792769,0.6326284277795322,-0.3,-0.3,-0.3,thr0.467_maxday3,202301,735,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,23,0,9,23,18,False,primary,23
SPXW,20230113,202301,13:45,825,zero_dte,PUT,0.4997188276002289,0.323354243921122,0.4997188276002289,0.5,-0.3,-0.3,thr0.467_maxday3,202301,825,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,24,0,9,24,18,False,primary,24
SPXW,20230117,202301,10:45,645,zero_dte,PUT,0.500492726605661,0.4110867556484042,0.500492726605661,-0.3,0.5,0.5,thr0.467_maxday3,202301,645,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,25,0,10,25,18,False,primary,25
SPXW,20230117,202301,11:30,690,zero_dte,CALL,0.4944020080761716,0.4944020080761716,0.2673097307517857,-0.3,-0.3,-0.3,thr0.467_maxday3,202301,690,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,26,0,10,26,18,False,primary,26
QQQ,20230117,202301,12:15,735,zero_dte,CALL,0.5310997625308386,0.5310997625308386,0.2315019081554527,-0.3,-0.3,-0.3,thr0.479_maxday1,202301,735,QQQ,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,9,0,10,11,18,False,primary,11
SPXW,20230117,202301,12:15,735,zero_dte,CALL,0.5034076147692139,0.5034076147692139,0.3413923003615924,-0.3,0.5,-0.3,thr0.467_maxday3,202301,735,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,27,0,10,27,18,False,primary,27
SPY,20230117,202301,12:15,735,zero_dte,CALL,0.5301050297739389,0.5301050297739389,0.3626575755737217,-0.3,-0.3,-0.3,thr0.500_maxday2,202301,735,SPY,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spy_v1\monthly_volume_backfill_trades.csv,17,0,10,18,18,False,primary,18
SPY,20230117,202301,12:45,765,zero_dte,CALL,0.5616994058130016,0.5616994058130016,0.4104171321571579,0.5,-0.3,0.5,thr0.500_maxday2,202301,765,SPY,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spy_v1\monthly_volume_backfill_trades.csv,18,0,10,19,18,False,primary,19
QQQ,20230118,202301,10:00,600,zero_dte,PUT,0.5088896146114046,0.0853601192403907,0.5088896146114046,-0.3,-0.3,-0.3,thr0.479_maxday1,202301,600,QQQ,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_qqq_v1\monthly_volume_backfill_trades.csv,10,0,11,12,18,False,primary,12
SPXW,20230118,202301,10:00,600,zero_dte,PUT,0.5569080544789253,0.1248530743998347,0.5569080544789253,-0.3,-0.3,-0.3,thr0.467_maxday3,202301,600,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,28,0,11,28,18,False,primary,28
SPY,20230118,202301,10:00,600,zero_dte,PUT,0.5345493149965299,0.1342682565423833,0.5345493149965299,-0.3,-0.3,-0.3,thr0.500_maxday2,202301,600,SPY,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spy_v1\monthly_volume_backfill_trades.csv,19,0,11,20,18,False,primary,20
SPXW,20230118,202301,10:30,630,zero_dte,PUT,0.6059225409433083,0.2096096433921057,0.6059225409433083,-0.3,0.5,0.5,thr0.467_maxday3,202301,630,SPXW,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spxw_v1\monthly_volume_backfill_trades.csv,29,0,11,29,18,False,primary,29
SPY,20230118,202301,10:30,630,zero_dte,PUT,0.5421742778528824,0.1911585935083553,0.5421742778528824,-0.3,0.5,0.5,thr0.500_maxday2,202301,630,SPY,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_monthly_backfill18_d50max3_2023_2026_spy_v1\monthly_volume_backfill_trades.csv,20,0,11,21,18,False,primary,21
