ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,source_delta_bucket,source_combined_from,source_variant,source_priority,config_selector_mode,selected_variants,selected_max_day,selected_cooldown,selected_daily_order
SPXW,20260309,202603,10:10,610,zero_dte,CALL,0.3041319741351388,0.3041319741351388,-0.2228245238178404,0.5277777777777777,-0.6,0.5277777777777777,thr0.100_maxday3,202603,25,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf202504_202606_v1,d25,0,SELECTED,"d25,d50,d80",3,30,time_asc
SPXW,20260309,202603,11:00,660,zero_dte,CALL,0.2596581623401232,0.2596581623401232,-0.3429680632782888,0.5371222263946343,-0.6,0.5371222263946343,thr0.100_maxday3,202603,25,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf202504_202606_v1,d25,0,SELECTED,"d25,d50,d80",3,30,time_asc
SPXW,20260309,202603,11:35,695,zero_dte,CALL,0.2938418331919697,0.2938418331919697,0.0382081396779013,1.1747786863752605,-0.6,1.1747786863752605,thr0.100_maxday3,202603,25,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf202504_202606_v1,d25,0,SELECTED,"d25,d50,d80",3,30,time_asc
SPXW,20260310,202603,10:00,600,zero_dte,CALL,0.2056798656262759,0.2056798656262759,-0.5194936718397974,0.7653846740722656,-0.6,0.7653846740722656,thr0.100_maxday3,202603,25,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf202504_202606_v1,d25,0,SELECTED,"d25,d50,d80",3,30,time_asc
SPXW,20260310,202603,10:30,630,zero_dte,PUT,0.1945578856250226,-0.5130197208969645,0.1945578856250226,1.2999999523162842,-0.6,-0.6,thr0.100_maxday3,202603,25,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf202504_202606_v1,d25,0,SELECTED,"d25,d50,d80",3,30,time_asc
SPXW,20260310,202603,11:05,665,zero_dte,PUT,0.1537415097634492,-0.5562033264746891,0.1537415097634492,-0.6,-0.6,-0.6,thr0.100_maxday3,202603,25,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf202504_202606_v1,d25,0,SELECTED,"d25,d50,d80",3,30,time_asc
SPXW,20260311,202603,10:25,625,zero_dte,CALL,0.2223599495813349,0.2223599495813349,-0.4086274902666315,0.2651514673842081,-0.6,0.2651514673842081,thr0.100_maxday3,202603,25,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf202504_202606_v1,d25,0,SELECTED,"d25,d50,d80",3,30,time_asc
SPXW,20260311,202603,11:25,685,zero_dte,CALL,0.1083622166651304,0.1083622166651304,-0.0603628477515697,-0.6,0.9558822910678444,-0.6,thr0.100_maxday3,202603,25,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf202504_202606_v1,d25,0,SELECTED,"d25,d50,d80",3,30,time_asc
SPXW,20260311,202603,11:55,715,zero_dte,PUT,0.29433872122369,-0.0494587680477329,0.29433872122369,-0.6,0.3961538168100209,0.3961538168100209,thr0.100_maxday3,202603,25,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf202504_202606_v1,d25,0,SELECTED,"d25,d50,d80",3,30,time_asc
SPXW,20260312,202603,10:20,620,zero_dte,PUT,0.3393777126069158,0.1889670337739363,0.3393777126069158,-0.6,0.3700000762939452,0.3700000762939452,thr0.100_maxday3,202603,25,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf202504_202606_v1,d25,0,SELECTED,"d25,d50,d80",3,30,time_asc
