ticker,trade_date,minute,ret_15m_bps,option_price_mode,call_d25_opt_exit_ret,call_d25_opt_exit_minutes,call_d35_opt_exit_ret,call_d35_opt_exit_minutes,put_d25_opt_exit_ret,put_d25_opt_exit_minutes,put_d35_opt_exit_ret,put_d35_opt_exit_minutes,wall_net_gamma_total_log,lag_minute,gex_log_lag45,net_gex_proxy,net_gex_proxy_lag45,net_gex_slope15,month,call_d25_strike,call_d25_opt_status,call_d25_opt_max_ret,call_d25_opt_min_ret,call_d35_strike,call_d35_opt_status,call_d35_opt_max_ret,call_d35_opt_min_ret,put_d25_strike,put_d25_opt_status,put_d25_opt_max_ret,put_d25_opt_min_ret,put_d35_strike,put_d35_opt_status,put_d35_opt_max_ret,put_d35_opt_min_ret,action,score,realized_return,exit_minutes,status,exit_reason,date,deploy_config,direction,config_id
SPXW,20230605,680,4.8047455716959675,executable_quote,0.1333333651224773,62,0.17021281344688965,62,-0.6129031985160827,55,-0.6086956544273968,56,22.76888157842857,635.0,22.49566100925509,7733919165.95183,5884931919.338836,616329082.2043314,202306,4300.0,1,0.5666666030883789,-0.9166666666666666,4295.0,1,0.5957447456093949,-0.8617021271199217,4280.0,-1,0.2580645855954258,-0.7903225818856325,4285.0,-1,0.39130439740273015,-0.7608695550767143,CALL,1.0,0.09999998410542799,30,1,trail,20230605,thr-inf_maxday4,D1_INVERTED,T30D15
QQQ,20230605,710,2.521046980807906,executable_quote,-0.6818181787394295,99,-0.6818181787394295,99,0.3333333806386085,110,0.3333333806386085,110,19.34974180438995,665.0,19.276540098518893,253213053.3551251,235339590.33687776,5957821.006082445,202306,358.0,-1,0.13636364252114097,-0.9772727276575713,358.0,-1,0.13636364252114097,-0.9772727276575713,356.0,1,3.714285906885763,-0.5,356.0,1,3.714285906885763,-0.5,CALL,1.0,-0.6818181787394295,99,-1,stop,20230605,thr-inf_maxday2,D1_INVERTED,T30D15
SPXW,20230605,710,4.264882425566441,executable_quote,-0.7380952205247071,99,-0.6714285782405308,99,-0.6153846247896873,71,-0.6290322543431022,79,22.92577526157794,665.0,22.58680129499082,9047689529.605413,6446487816.258866,867067237.7821823,202306,4305.0,-1,0.3095238689932991,-0.9761904747544232,4300.0,-1,0.34285708836146767,-0.9857142855014119,4280.0,-1,5.153846003365003,-0.6666666870443225,4285.0,-1,4.225806858487494,-0.645161271715511,CALL,1.0,0.11904762445393624,30,1,trail,20230605,thr-inf_maxday4,D1_INVERTED,T30D15
SPXW,20230605,740,14.61604400224914,executable_quote,-0.6326530781054385,68,-0.7261904694325796,69,0.6744184860221292,70,0.7647058328542755,70,23.038307663058283,695.0,22.88004623983934,10125346412.758518,8643264981.214062,494027143.84815216,202306,4305.0,-1,0.12244895774590314,-1.0,4300.0,-1,0.11904762445393624,-1.0,4285.0,1,7.093022719404411,-0.48837210462826997,4290.0,1,5.52941180595477,-0.4117647223819081,CALL,1.0,-0.6326530781054385,68,-1,stop,20230605,thr-inf_maxday4,D1_INVERTED,T30D15
SPXW,20230606,680,-2.8712570075939414,executable_quote,-0.6086956544273968,77,-0.6447368313731248,78,-0.2452830460284594,30,-0.20512824901854076,30,21.7917471339965,635.0,21.347969630124624,2910955263.930034,1867692651.1852937,347754204.24824685,202306,4295.0,-1,0.10869565442739693,-0.9565217375811647,4290.0,-1,0.13157901176125142,-0.9473684196079206,4270.0,-1,1.188679238492885,-0.3962264278258404,4275.0,-1,1.1282051250701044,-0.346153874369062,PUT,1.0,-0.2452830460284594,30,-1,trail,20230606,thr-inf_maxday4,D1_INVERTED,T30D15
QQQ,20230606,690,-23.65140140525024,executable_quote,1.363636289746308,33,1.0799999237060547,36,-0.6451612949743479,30,-0.6406249854480844,31,-19.682996773842806,645.0,-19.466781497313644,-353359592.1380888,-284653011.73795944,-22902193.466709793,202306,356.0,1,1.7272728504228203,-0.8181818212605705,355.0,1,1.3399999141693115,-0.6800000071525574,353.0,-1,0.29032258994869586,-0.8064516187179349,354.0,-1,0.3593750378349805,-0.6562499941792338,CALL,1.0,1.119999885559082,33,1,trail,20230606,thr-inf_maxday2,D1_INVERTED,T30D15
SPY,20230606,690,-12.616604118429464,executable_quote,0.38095238433132916,36,0.3999999761581421,36,-0.6296296388278769,107,-0.49090909977589736,180,-20.25340948233318,645.0,-20.059480736872935,-625092052.4237155,-514898697.26059085,-36731118.38770821,202306,429.0,1,0.6666666903193041,-0.8571428558757516,428.0,1,0.6599999666213989,-0.7999999970197678,426.0,-1,0.2962962227103181,-0.6666666666666667,427.0,0,0.3636363340803421,-0.5454545553065526,CALL,1.0,0.3999999761581421,36,1,trail,20230606,thr-inf_maxday1,D1_INVERTED,T30D15
SPXW,20230606,715,8.340340656884937,executable_quote,-0.6818181941331908,43,-0.6447368313731248,43,0.767441759888327,48,0.5757575407282156,49,21.94154012937357,670.0,21.8227122947216,3381347477.8341393,3002503550.3686733,126281309.15515535,202306,4295.0,-1,0.15909086229387492,-0.9545454548533298,4290.0,-1,0.13157901176125142,-0.9473684196079206,4270.0,1,1.6046510028993914,-0.7209302338475856,4275.0,1,1.5151516092929205,-0.5757575768522433,CALL,1.0,-0.6818181941331908,43,-1,stop,20230606,thr-inf_maxday4,D1_INVERTED,T30D15
QQQ,20230606,760,-18.86458322503337,executable_quote,-0.6470588351306616,75,-0.6444444429727247,76,-0.1500000037252902,30,0.021739109308372973,30,-19.661358283674428,715.0,-19.058623204254364,-345795556.3495398,-189258279.62045524,-52179092.24302819,202306,356.0,-1,-0.05882356034843117,-1.0,355.0,-1,0.15555554378179814,-0.8222222214863624,353.0,-1,1.0,-0.9500000018626451,354.0,1,0.8913043238828227,-0.9347826113364534,CALL,1.0,-0.6444444429727247,76,-1,stop,20230606,thr-inf_maxday2,D1_INVERTED,T30D15
SPXW,20230606,795,14.555862793939056,executable_quote,-0.645161271715511,30,-0.6166666746139526,33,0.8461537521031268,30,0.7272726944327021,30,21.672847573301116,750.0,21.4689855529143,2584628376.114347,2107958019.2067447,158890118.96920076,202306,4290.0,-1,0.09677425805289541,-1.0,4285.0,-1,0.06666668256123853,-0.9666666661699613,4270.0,1,1.7179487492989578,-1.0,4275.0,1,1.5151516092929205,-1.0,CALL,1.0,-0.645161271715511,30,-1,stop,20230606,thr-inf_maxday4,D1_INVERTED,T30D15
