cell_id,family,arm,fold,ticker,horizon,bin,lower,upper,count,mean_probability,event_rate
lgbm_sensitivity_2024_QQQ_30m,lgbm_sensitivity,F1,2024,QQQ,30,1,0.1,0.2,2,0.1730045754229046,0.0
lgbm_sensitivity_2024_QQQ_30m,lgbm_sensitivity,F1,2024,QQQ,30,2,0.2,0.30000000000000004,45,0.27088039642210304,0.3111111111111111
lgbm_sensitivity_2024_QQQ_30m,lgbm_sensitivity,F1,2024,QQQ,30,3,0.30000000000000004,0.4,136,0.3543517485821309,0.36764705882352944
lgbm_sensitivity_2024_QQQ_30m,lgbm_sensitivity,F1,2024,QQQ,30,4,0.4,0.5,229,0.4563523672324081,0.43231441048034935
lgbm_sensitivity_2024_QQQ_30m,lgbm_sensitivity,F1,2024,QQQ,30,5,0.5,0.6000000000000001,194,0.5487261836160108,0.39690721649484534
lgbm_sensitivity_2024_QQQ_30m,lgbm_sensitivity,F1,2024,QQQ,30,6,0.6000000000000001,0.7000000000000001,162,0.6437004152573391,0.41358024691358025
lgbm_sensitivity_2024_QQQ_30m,lgbm_sensitivity,F1,2024,QQQ,30,7,0.7000000000000001,0.8,59,0.7354294412530994,0.3728813559322034
lgbm_sensitivity_2024_QQQ_30m,lgbm_sensitivity,F1,2024,QQQ,30,8,0.8,0.9,2,0.81410646671648,0.5
lgbm_sensitivity_2024_QQQ_30m,lgbm_sensitivity,F1,2024,QQQ,30,9,0.9,1.0,0,,
lgbm_sensitivity_2024_QQQ_60m,lgbm_sensitivity,F0,2024,QQQ,60,0,0.0,0.1,0,,
lgbm_sensitivity_2024_QQQ_60m,lgbm_sensitivity,F0,2024,QQQ,60,1,0.1,0.2,5,0.17458017673057705,0.2
lgbm_sensitivity_2024_QQQ_60m,lgbm_sensitivity,F0,2024,QQQ,60,2,0.2,0.30000000000000004,73,0.26789795528801286,0.410958904109589
lgbm_sensitivity_2024_QQQ_60m,lgbm_sensitivity,F0,2024,QQQ,60,3,0.30000000000000004,0.4,180,0.35522502442738246,0.4222222222222222
lgbm_sensitivity_2024_QQQ_60m,lgbm_sensitivity,F0,2024,QQQ,60,4,0.4,0.5,294,0.45209470062558543,0.43197278911564624
lgbm_sensitivity_2024_QQQ_60m,lgbm_sensitivity,F0,2024,QQQ,60,5,0.5,0.6000000000000001,276,0.548965867516985,0.41304347826086957
lgbm_sensitivity_2024_QQQ_60m,lgbm_sensitivity,F0,2024,QQQ,60,6,0.6000000000000001,0.7000000000000001,128,0.6411203249490879,0.5546875
lgbm_sensitivity_2024_QQQ_60m,lgbm_sensitivity,F0,2024,QQQ,60,7,0.7000000000000001,0.8,51,0.7350625131696391,0.39215686274509803
lgbm_sensitivity_2024_QQQ_60m,lgbm_sensitivity,F0,2024,QQQ,60,8,0.8,0.9,5,0.8294050389406351,0.0
lgbm_sensitivity_2024_QQQ_60m,lgbm_sensitivity,F0,2024,QQQ,60,9,0.9,1.0,0,,
lgbm_sensitivity_2024_QQQ_60m,lgbm_sensitivity,F1,2024,QQQ,60,0,0.0,0.1,0,,
lgbm_sensitivity_2024_QQQ_60m,lgbm_sensitivity,F1,2024,QQQ,60,1,0.1,0.2,7,0.17592067650892168,0.14285714285714285
lgbm_sensitivity_2024_QQQ_60m,lgbm_sensitivity,F1,2024,QQQ,60,2,0.2,0.30000000000000004,50,0.26670388808571976,0.48
lgbm_sensitivity_2024_QQQ_60m,lgbm_sensitivity,F1,2024,QQQ,60,3,0.30000000000000004,0.4,150,0.35621999200907073,0.3333333333333333
lgbm_sensitivity_2024_QQQ_60m,lgbm_sensitivity,F1,2024,QQQ,60,4,0.4,0.5,234,0.4537411708345246,0.49572649572649574
lgbm_sensitivity_2024_QQQ_60m,lgbm_sensitivity,F1,2024,QQQ,60,5,0.5,0.6000000000000001,259,0.5484967571168903,0.43243243243243246
lgbm_sensitivity_2024_QQQ_60m,lgbm_sensitivity,F1,2024,QQQ,60,6,0.6000000000000001,0.7000000000000001,209,0.6449486440899127,0.45454545454545453
lgbm_sensitivity_2024_QQQ_60m,lgbm_sensitivity,F1,2024,QQQ,60,7,0.7000000000000001,0.8,94,0.7405739608344074,0.40425531914893614
lgbm_sensitivity_2024_QQQ_60m,lgbm_sensitivity,F1,2024,QQQ,60,8,0.8,0.9,9,0.8297422432780563,0.3333333333333333
lgbm_sensitivity_2024_QQQ_60m,lgbm_sensitivity,F1,2024,QQQ,60,9,0.9,1.0,0,,
lgbm_sensitivity_2024_QQQ_120m,lgbm_sensitivity,F0,2024,QQQ,120,0,0.0,0.1,0,,
lgbm_sensitivity_2024_QQQ_120m,lgbm_sensitivity,F0,2024,QQQ,120,1,0.1,0.2,8,0.1699487513773859,0.375
lgbm_sensitivity_2024_QQQ_120m,lgbm_sensitivity,F0,2024,QQQ,120,2,0.2,0.30000000000000004,78,0.255080666986967,0.3333333333333333
lgbm_sensitivity_2024_QQQ_120m,lgbm_sensitivity,F0,2024,QQQ,120,3,0.30000000000000004,0.4,212,0.3568473179828127,0.4811320754716981
