ticker,underlying_ticker,trade_date,expiration,dte_days,expiry_mode,has_greeks,has_iv,has_ohlc,has_oi,has_underlying,greeks_path,iv_path,ohlc_path,oi_path,underlying_path
QQQ,QQQ,20260622,20260626,4,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260626_20260622_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260626_20260622_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260626_20260622_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260626_20260622_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260622.parquet
QQQ,QQQ,20260623,20260623,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260623_20260623_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260623_20260623_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260623_20260623_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260623_20260623_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260623.parquet
QQQ,QQQ,20260623,20260626,3,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260626_20260623_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260626_20260623_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260626_20260623_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260626_20260623_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260623.parquet
QQQ,QQQ,20260624,20260624,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260624_20260624_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260624_20260624_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260624_20260624_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260624_20260624_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260624.parquet
QQQ,QQQ,20260624,20260626,2,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260626_20260624_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260626_20260624_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260626_20260624_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260626_20260624_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260624.parquet
QQQ,QQQ,20260625,20260625,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260625_20260625_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260625_20260625_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260625_20260625_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260625_20260625_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260625.parquet
QQQ,QQQ,20260625,20260626,1,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260626_20260625_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260626_20260625_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260626_20260625_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260626_20260625_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260625.parquet
QQQ,QQQ,20260626,20260626,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260626_20260626_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260626_20260626_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260626_20260626_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260626_20260626_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260626.parquet
QQQ,QQQ,20260626,20260702,6,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260702_20260626_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260702_20260626_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260702_20260626_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260702_20260626_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260626.parquet
QQQ,QQQ,20260630,20260630,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260630_20260630_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260630_20260630_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260630_20260630_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260630_20260630_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260630.parquet
