trigger_losses,pause_days,rolling_sum_window,rolling_sum_threshold,gate_pass,overall_pf,overall_wr,overall_pnl,overall_trades,min_month,pf_min,wr_min,max_negative_day_streak,negative_months,dd_to_pnl,first3miss,health_flag_count,flags_json
6,4,3,-1.0,False,1.5612883944718363,0.5454545454545454,25.292732984587985,506,15,1.4458184776075416,0.5078125,6,2,0.285715970642908,0,5,"{'SPXW': 'negative_months;negative_day_streak>4', 'SPY': 'negative_day_streak>4', 'QQQ': 'negative_months;negative_day_streak>4'}"
6,5,3,-1.0,False,1.5095547897729686,0.5415821501014199,22.711319755654223,493,11,1.4458184776075416,0.5078125,6,3,0.31599350562070094,0,5,"{'SPXW': 'negative_months;negative_day_streak>4', 'SPY': 'negative_months', 'QQQ': 'negative_months;negative_day_streak>4'}"
7,5,3,-1.0,False,1.520772869463078,0.5425101214574899,23.211319755654223,494,11,1.4458184776075416,0.5078125,7,3,0.31599350562070094,0,5,"{'SPXW': 'negative_months;negative_day_streak>4', 'SPY': 'negative_months', 'QQQ': 'negative_months;negative_day_streak>4'}"
3,4,5,-1.0,False,1.5313361041783655,0.5507900677200903,20.635680559590703,443,10,1.2653149254696652,0.4845360824742268,3,4,0.5490044783830657,0,6,"{'SPXW': 'drawdown_to_pnl>0.45;top5_share>0.8;negative_months;max_month_pnl_share>0.65', 'SPY': '', 'QQQ': 'negative_months;max_month_pnl_share>0.65'}"
3,3,5,-2.0,False,1.484167633112796,0.5423728813559322,20.585269056925114,472,13,1.2450415411717044,0.4752475247524752,3,4,0.7749110538267437,0,6,"{'SPXW': 'drawdown_to_pnl>0.45;top5_share>0.8;negative_months;max_month_pnl_share>0.65', 'SPY': 'negative_months', 'QQQ': 'negative_months'}"
3,3,3,-1.0,False,1.4727143615831406,0.5403050108932462,19.685599115256636,459,13,1.2450415411717044,0.4752475247524752,3,4,0.7749110538267437,0,6,"{'SPXW': 'drawdown_to_pnl>0.45;top5_share>0.8;negative_months;max_month_pnl_share>0.65', 'SPY': 'negative_months', 'QQQ': 'negative_months'}"
4,2,3,-0.5,False,1.5411689427607205,0.5391304347826087,22.529311467147416,460,14,1.5227590527142951,0.509090909090909,3,5,0.3420223502310815,0,6,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': 'negative_months;first_2_month_share<0.1', 'QQQ': 'negative_months;max_month_pnl_share>0.65'}"
3,4,3,-1.0,False,1.5345064485753188,0.5434782608695652,21.709993672366434,460,10,1.3388544743201871,0.49504950495049505,3,5,0.5144238478980837,0,6,"{'SPXW': 'drawdown_to_pnl>0.45;negative_months;max_month_pnl_share>0.65', 'SPY': '', 'QQQ': 'drawdown_to_pnl>0.45;negative_months;max_month_pnl_share>0.65'}"
3,4,5,-2.0,False,1.4943847811172182,0.5423728813559322,21.0943419365804,472,10,1.3388544743201871,0.49504950495049505,3,5,0.5144238478980837,0,6,"{'SPXW': 'drawdown_to_pnl>0.45;negative_months;max_month_pnl_share>0.65', 'SPY': '', 'QQQ': 'drawdown_to_pnl>0.45;negative_months;max_month_pnl_share>0.65'}"
3,4,0,0.0,False,1.4627464806585984,0.5370370370370371,20.70370962160441,486,10,1.3388544743201871,0.49504950495049505,3,5,0.5144238478980837,0,6,"{'SPXW': 'drawdown_to_pnl>0.45;negative_months;max_month_pnl_share>0.65', 'SPY': '', 'QQQ': 'drawdown_to_pnl>0.45;negative_months;max_month_pnl_share>0.65'}"
5,2,3,-0.5,False,1.518218032503502,0.5369565217391304,21.729311467147415,460,14,1.4992771650204773,0.509090909090909,3,6,0.39692528148771666,0,6,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': 'negative_months;first_2_month_share<0.1', 'QQQ': 'negative_months;max_month_pnl_share>0.65'}"
6,2,3,-0.5,False,1.518218032503502,0.5369565217391304,21.729311467147415,460,14,1.4992771650204773,0.509090909090909,3,6,0.39692528148771666,0,6,"{'SPXW': 'negative_months;max_month_pnl_share>0.65', 'SPY': 'negative_months;first_2_month_share<0.1', 'QQQ': 'negative_months;max_month_pnl_share>0.65'}"
