kind,trigger_losses,pause_days,trigger_sum,gate_pass,simple_health_pass,all_trades,all_wr,all_pf,all_pnl,all_minM,all_call,all_negM,all_maxNegStreak,all_top5,all_ddpnl,QQQ_trades,QQQ_wr,QQQ_pf,QQQ_pnl,QQQ_minM,QQQ_call,QQQ_negM,QQQ_maxNegStreak,QQQ_top5,QQQ_ddpnl,SPXW_trades,SPXW_wr,SPXW_pf,SPXW_pnl,SPXW_minM,SPXW_call,SPXW_negM,SPXW_maxNegStreak,SPXW_top5,SPXW_ddpnl,SPY_trades,SPY_wr,SPY_pf,SPY_pnl,SPY_minM,SPY_call,SPY_negM,SPY_maxNegStreak,SPY_top5,SPY_ddpnl
rollsum,0,3,"(3, -1.5)",True,False,1834,0.49291166848418755,1.3777275789729024,71.90181362131288,89,0.44438386041439476,2,5,0.2067758864964009,0.07432566949052741,641,0.5070202808112324,1.3584490528360118,21.58359873996515,34,0.4664586583463339,4,8,0.23165738300822733,0.13964963658438095,348,0.49712643678160917,1.4015108018012261,15.148110401570383,19,0.39080459770114945,3,7,0.16503708606063688,0.22566934692863147,845,0.4804733727810651,1.380579440387543,35.17010447977735,23,0.44970414201183434,4,7,0.213249295415442,0.10180189346878209
rollsum,0,1,"(3, -1.0)",True,False,1798,0.4938820912124583,1.379065279440565,70.919321155527,86,0.43770856507230255,2,6,0.20965767383500156,0.07767462709043998,614,0.506514657980456,1.343898219087732,19.77209851067635,30,0.46579804560260585,5,8,0.25288160471687654,0.13982310979396617,348,0.49712643678160917,1.4015108018012261,15.148110401570383,19,0.39080459770114945,3,7,0.16503708606063688,0.22566934692863147,836,0.48325358851674644,1.3918561805665868,35.999112243280265,23,0.4366028708133971,3,5,0.20833847094104324,0.10402658247526003
rollsum,0,2,"(3, -1.0)",True,False,1675,0.48776119402985074,1.3340666041655884,59.21191432688416,80,0.4388059701492537,3,5,0.2397646396943019,0.097729738420344,596,0.5050335570469798,1.3215887869592673,17.8917555417149,27,0.47315436241610737,5,8,0.27945832304395307,0.17543096243583686,348,0.49712643678160917,1.4015108018012261,15.148110401570383,19,0.39080459770114945,3,7,0.16503708606063688,0.22566934692863147,731,0.4692202462380301,1.3120082614905204,26.17204838359888,23,0.43365253077975374,5,7,0.286565265739765,0.2596073954959262
rollsum,0,3,"(3, -1.0)",True,False,1612,0.49503722084367247,1.3670635479335727,61.884463987532904,78,0.4472704714640198,2,5,0.22070450883343407,0.09719017803158528,568,0.5140845070422535,1.3465624179329656,18.10033885732767,18,0.47183098591549294,5,8,0.2762379223622004,0.18908772887658692,348,0.49712643678160917,1.4015108018012261,15.148110401570383,19,0.39080459770114945,3,7,0.16503708606063688,0.22566934692863147,696,0.47844827586206895,1.364152960869778,28.636014728634844,18,0.45545977011494254,4,6,0.26190795301206166,0.1372030529959788
rollsum,0,1,"(3, -0.5)",False,False,1582,0.48482932996207334,1.312986518418357,52.115440279368705,77,0.45448798988621997,4,6,0.28276343971529194,0.1062425491735142,570,0.5052631578947369,1.353339015453868,18.65375666294591,26,0.47017543859649125,4,8,0.2680425230340906,0.13362009307986827,310,0.4870967741935484,1.3453834175924086,11.651539817150733,15,0.4161290322580645,6,7,0.2145639150904391,0.21466360358154868,702,0.4672364672364672,1.2726871752693105,21.810143799272065,20,0.4586894586894587,4,8,0.34387668733529025,0.22764191980542375
rollsum,0,2,"(3, -0.5)",False,False,1405,0.48540925266903917,1.3173867418244591,47.73144733378074,61,0.4419928825622776,4,6,0.26866662906868016,0.16392143635849268,505,0.5108910891089109,1.3906759142382326,18.036081800797504,18,0.4752475247524752,5,9,0.2772220737975869,0.1454455538862129,288,0.4895833333333333,1.3797677332763114,12.06911948244059,9,0.3993055555555556,4,6,0.20714021463100601,0.21304829852363585,612,0.4624183006535948,1.2433142934903587,17.626246050542647,17,0.434640522875817,6,7,0.4255018328062601,0.3715841278674198
rollsum,0,3,"(3, -0.5)",False,False,1205,0.4871369294605809,1.2790686073636746,35.97681017864352,39,0.46473029045643155,3,8,0.31134142964578687,0.2244981719317819,425,0.4988235294117647,1.223949927581684,9.138416100855597,10,0.4823529411764706,8,9,0.5405707663899532,0.4130893917723698,246,0.483739837398374,1.2525981160493487,7.1028695131590585,5,0.42276422764227645,8,9,0.3519704248217429,0.6360580738442712,534,0.4794007490636704,1.3289661614837753,19.73552456462886,14,0.4700374531835206,6,6,0.3800253687425127,0.21753505916070792
rollsum,0,1,"(3, 0.0)",False,False,1324,0.4773413897280967,1.2809809468325573,40.402359314116644,51,0.44939577039274925,3,5,0.31574311332597416,0.20855475027474377,446,0.4910313901345291,1.3075054587110382,13.527800286195198,20,0.47757847533632286,5,5,0.36960924128236744,0.2718502782434328,239,0.46443514644351463,1.2056147501299872,5.780456663858719,11,0.4225941422594142,6,10,0.4324917814246073,1.0787708016637858,639,0.4726134585289515,1.2942598965047531,21.09410236406273,14,0.4397496087636933,4,8,0.3555496162177293,0.30580731477264533
rollsum,0,2,"(3, 0.0)",False,False,1000,0.467,1.2150000956221456,23.528503626301998,32,0.46,6,8,0.4759326801952533,0.3945704046868429,332,0.4789156626506024,1.203486117604134,6.710298990608391,12,0.4879518072289157,9,7,0.720169575061157,0.554832266924362,184,0.4782608695652174,1.2171547533880906,4.572098113404687,7,0.43478260869565216,6,7,0.54679491515512,0.7296941931229063,484,0.45454545454545453,1.2210344966154119,12.246106522288922,7,0.45041322314049587,7,7,0.5979359611092017,0.36479939530532746
rollsum,0,3,"(3, 0.0)",False,False,827,0.48125755743651755,1.2421929567601262,21.564178566856317,24,0.46916565900846435,5,9,0.42669914810118476,0.3143759517445959,295,0.49491525423728816,1.3753848262124797,10.306197344610402,7,0.4915254237288136,6,8,0.45740751701886934,0.26671487227729374,144,0.4722222222222222,1.2366916250948068,3.9140889234318625,5,0.4166666666666667,7,7,0.6387182429693005,0.6827660588450946,388,0.4742268041237113,1.1630327466748327,7.343892298814053,8,0.47164948453608246,8,8,0.9003269289751952,0.5441983935133368
