path,dir,file,ticker,window,v_trades,v_wr,v_pf,v_r,v_min_month,v_pos_months,v_call_rate,t_trades,t_wr,t_pf,t_r,t_min_month,t_pos_months,t_call_rate
research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_2025h2_2026,event_option_gate_trades.csv,QQQ,octdec,89,0.449438202247191,1.2662587927592328,3.6363665373637057,24,2,0.38202247191011235,201,0.4228855721393035,1.1459912729902657,4.938721660440942,0,4,0.3681592039800995
research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_2025h2_2026jun,event_option_gate_trades.csv,QQQ,h2,180,0.39444444444444443,1.0705841514770154,2.1117535877938725,24,3,0.28888888888888886,219,0.410958904109589,1.1014438192355698,3.8007779713485705,18,4,0.3698630136986301
research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_2025h2_2026jun,event_option_gate_trades.csv,QQQ,octdec,89,0.449438202247191,1.2662587927592328,3.6363665373637057,24,2,0.38202247191011235,219,0.410958904109589,1.1014438192355698,3.8007779713485705,18,4,0.3698630136986301
research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026,event_option_gate_trades.csv,QQQ,h2,204,0.45588235294117646,1.349636080490068,10.787512455244924,0,3,0.2647058823529412,211,0.4549763033175355,1.3175066762771908,10.363959073227464,0,4,0.33175355450236965
research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026,event_option_gate_trades.csv,QQQ,octdec,98,0.5408163265306123,1.8774089792418405,11.350448719534933,0,2,0.29591836734693877,211,0.4549763033175355,1.3175066762771908,10.363959073227464,0,4,0.33175355450236965
research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026jun,event_option_gate_trades.csv,QQQ,h2,158,0.34177215189873417,0.8627030380613833,-3.994320340476504,0,1,0.18354430379746836,243,0.4567901234567901,1.3161759977629426,11.831076359860894,18,5,0.37037037037037035
research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026jun,event_option_gate_trades.csv,QQQ,octdec,55,0.36363636363636365,0.898264127699055,-1.0421291921386504,0,0,0.23636363636363636,243,0.4567901234567901,1.3161759977629426,11.831076359860894,18,5,0.37037037037037035
research_papers\JEPA\results\event_option_gate_qqq_front_weekly_delta35_wincls_min18_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_front_weekly_delta35_wincls_min18_2025h2_2026jun,event_option_gate_trades.csv,QQQ,h2,102,0.4411764705882353,1.1012815138538157,1.2153067833930753,0,2,0.5196078431372549,160,0.41875,0.9774880255383214,-0.42689103040983656,11,2,0.58125
research_papers\JEPA\results\event_option_gate_qqq_front_weekly_delta35_wincls_min18_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_front_weekly_delta35_wincls_min18_2025h2_2026jun,event_option_gate_trades.csv,QQQ,octdec,102,0.4411764705882353,1.1012815138538157,1.2153067833930753,29,2,0.5196078431372549,160,0.41875,0.9774880255383214,-0.42689103040983656,11,2,0.58125
research_papers\JEPA\results\event_option_gate_qqq_full20_family_d35_win_2025_2026_v1\event_option_gate_trades.csv,event_option_gate_qqq_full20_family_d35_win_2025_2026_v1,event_option_gate_trades.csv,QQQ,h2,46,0.4782608695652174,1.5339502016761455,3.8289719001436193,0,2,0.06521739130434782,160,0.375,0.9961134265829332,-0.11542015750869927,0,3,0.2875
research_papers\JEPA\results\event_option_gate_qqq_full20_family_d35_win_2025_2026_v1\event_option_gate_trades.csv,event_option_gate_qqq_full20_family_d35_win_2025_2026_v1,event_option_gate_trades.csv,QQQ,octdec,7,0.42857142857142855,1.25,0.2999999999999999,0,1,0.0,160,0.375,0.9961134265829332,-0.11542015750869927,0,3,0.2875
research_papers\JEPA\results\event_option_gate_qqq_full20_family_d50_win_2025_2026_v1\event_option_gate_trades.csv,event_option_gate_qqq_full20_family_d50_win_2025_2026_v1,event_option_gate_trades.csv,QQQ,h2,76,0.3815789473684211,1.066244598394112,0.9008689733681388,0,2,0.3026315789473684,340,0.4117647058823529,1.1680178239981887,10.00374163427682,26,5,0.37941176470588234
research_papers\JEPA\results\event_option_gate_qqq_full20_family_d50_win_2025_2026_v1\event_option_gate_trades.csv,event_option_gate_qqq_full20_family_d50_win_2025_2026_v1,event_option_gate_trades.csv,QQQ,octdec,19,0.42105263157894735,1.2121212121212124,0.7,0,1,0.6842105263157895,340,0.4117647058823529,1.1680178239981887,10.00374163427682,26,5,0.37941176470588234
research_papers\JEPA\results\event_option_gate_qqq_full20_family_d65_win_2025_2026_v1\event_option_gate_trades.csv,event_option_gate_qqq_full20_family_d65_win_2025_2026_v1,event_option_gate_trades.csv,QQQ,h2,147,0.4217687074829932,1.2756733430353628,6.596552067434068,0,2,0.1836734693877551,214,0.4439252336448598,1.2960668273715856,10.489272294274976,13,6,0.3691588785046729
