sources,min_score,select_pass,select_user_pass,test2025_pass,test2025_user_pass,test2026_pass,test2026_user_pass,sel_trades,sel_wr,sel_pf,sel_pnl,sel_minM,sel_call,sel_top5,sel_posM,t2025_trades,t2025_wr,t2025_pf,t2025_pnl,t2025_minM,t2025_call,t2025_top5,t2025_posM,t2026_trades,t2026_wr,t2026_pf,t2026_pnl,t2026_minM,t2026_call,t2026_top5,t2026_posM
"d50ret,d80_zero",0.0,False,False,False,False,False,False,111,0.42342342342342343,1.1237071666576741,2.289694408272468,9,0.1981981981981982,1.091848759802931,0.8333333333333334,171,0.4502923976608187,1.2734916268662262,6.406359047222555,0,0.38011695906432746,0.3902372598182524,0.6666666666666666,66,0.3939393939393939,0.9578169918626406,-0.4651882590930202,4,0.25757575757575757,,0.6
"d80_zero,d50ret",-999999.0,False,False,False,False,False,False,125,0.432,1.133577030695066,2.632534624148942,17,0.224,0.949655125925727,0.8333333333333334,216,0.4537037037037037,1.2370776300884458,6.942733228448291,0,0.4305555555555556,0.36008873130197355,0.5,101,0.4158415841584158,1.0669089287205922,0.9683961468724352,19,0.45544554455445546,2.5815881321648004,0.6
"d80_zero,d50ret",0.0,False,False,False,False,False,False,111,0.42342342342342343,1.1237071666576741,2.289694408272468,9,0.1981981981981982,1.091848759802931,0.8333333333333334,171,0.4502923976608187,1.2734916268662262,6.406359047222555,0,0.38011695906432746,0.3902372598182524,0.6666666666666666,66,0.3939393939393939,0.9578169918626406,-0.4651882590930202,4,0.25757575757575757,,0.6
"d50ret,cons_m2s1c45",-999999.0,False,False,False,False,True,True,128,0.40625,0.942477619880291,-1.1469264734820812,20,0.21875,,0.5,249,0.43373493975903615,1.1139954895506723,3.6457714478690946,19,0.3453815261044177,0.6857259254310133,0.4166666666666667,102,0.49019607843137253,1.4587037132531766,5.166199683707321,19,0.49019607843137253,0.48391470579123513,1.0
"d50ret,cons_m2s1c45",0.0,False,False,False,False,False,False,128,0.40625,0.942477619880291,-1.1469264734820812,20,0.21875,,0.5,245,0.43673469387755104,1.1371615193417135,4.290030309852195,19,0.33877551020408164,0.5827464655106673,0.5,97,0.4948453608247423,1.5317386966446533,5.596137909130672,16,0.4742268041237113,0.44673666742933443,1.0
"cons_m2s1c45,d50ret",-999999.0,False,False,False,False,True,True,128,0.40625,0.942477619880291,-1.1469264734820812,20,0.21875,,0.5,249,0.43373493975903615,1.1139954895506723,3.6457714478690946,19,0.3453815261044177,0.6857259254310133,0.4166666666666667,102,0.49019607843137253,1.4587037132531766,5.166199683707321,19,0.49019607843137253,0.48391470579123513,1.0
"cons_m2s1c45,d50ret",0.0,False,False,False,False,False,False,128,0.40625,0.942477619880291,-1.1469264734820812,20,0.21875,,0.5,245,0.43673469387755104,1.1371615193417135,4.290030309852195,19,0.33877551020408164,0.5827464655106673,0.5,97,0.4948453608247423,1.5317386966446533,5.596137909130672,16,0.4742268041237113,0.44673666742933443,1.0
"d50ret,cons_m2s2c30",-999999.0,False,False,False,False,False,False,128,0.46875,1.1673758401579155,2.6623479729235893,20,0.203125,0.9390207536450199,0.8333333333333334,249,0.4819277108433735,1.1689160182220772,5.087536784738292,19,0.3493975903614458,0.49139693839650583,0.5833333333333334,102,0.46078431372549017,1.2422256793909094,2.773872996094537,19,0.4803921568627451,0.9012669302162949,0.8
"d50ret,cons_m2s2c30",0.0,False,False,False,False,False,False,128,0.46875,1.1673758401579155,2.6623479729235893,20,0.203125,0.9390207536450199,0.8333333333333334,245,0.4857142857142857,1.1918449269000875,5.657268973665599,19,0.34285714285714286,0.4419093402907689,0.75,101,0.45544554455445546,1.235867139002168,2.7010574980711337,19,0.4752475247524752,0.9255634142498959,0.8
"cons_m2s2c30,d50ret",-999999.0,False,False,False,False,False,False,128,0.46875,1.1673758401579155,2.6623479729235893,20,0.203125,0.9390207536450199,0.8333333333333334,249,0.4819277108433735,1.1689160182220772,5.087536784738292,19,0.3493975903614458,0.49139693839650583,0.5833333333333334,102,0.46078431372549017,1.2422256793909094,2.773872996094537,19,0.4803921568627451,0.9012669302162949,0.8
"cons_m2s2c30,d50ret",0.0,False,False,False,False,False,False,128,0.46875,1.1673758401579155,2.6623479729235893,20,0.203125,0.9390207536450199,0.8333333333333334,245,0.4857142857142857,1.1918449269000875,5.657268973665599,19,0.34285714285714286,0.4419093402907689,0.75,101,0.45544554455445546,1.235867139002168,2.7010574980711337,19,0.4752475247524752,0.9255634142498959,0.8
"d50ret,cons_m3allc30",-999999.0,False,False,False,False,True,True,128,0.46875,1.1756784576411312,2.655362437093441,20,0.1953125,0.9414910616633182,0.8333333333333334,249,0.4738955823293173,1.1386956650452513,4.093863307537313,19,0.3453815261044177,0.6106701206650423,0.4166666666666667,102,0.47058823529411764,1.3240971778929407,3.4836033263057806,19,0.49019607843137253,0.7176477244471885,1.0
"d50ret,cons_m3allc30",0.0,False,False,False,False,True,True,128,0.46875,1.1756784576411312,2.655362437093441,20,0.1953125,0.9414910616633182,0.8333333333333334,245,0.4775510204081633,1.1614432391496055,4.663595496464621,19,0.33877551020408164,0.5360670756919634,0.5833333333333334,101,0.46534653465346537,1.3173227850572096,3.4107878282823783,19,0.48514851485148514,0.7329684887667031,1.0
"cons_m3allc30,d50ret",-999999.0,False,False,False,False,True,True,128,0.46875,1.1756784576411312,2.655362437093441,20,0.1953125,0.9414910616633182,0.8333333333333334,249,0.4738955823293173,1.1386956650452513,4.093863307537313,19,0.3453815261044177,0.6106701206650423,0.4166666666666667,102,0.47058823529411764,1.3240971778929407,3.4836033263057806,19,0.49019607843137253,0.7176477244471885,1.0
"cons_m3allc30,d50ret",0.0,False,False,False,False,True,True,128,0.46875,1.1756784576411312,2.655362437093441,20,0.1953125,0.9414910616633182,0.8333333333333334,245,0.4775510204081633,1.1614432391496055,4.663595496464621,19,0.33877551020408164,0.5360670756919634,0.5833333333333334,101,0.46534653465346537,1.3173227850572096,3.4107878282823783,19,0.48514851485148514,0.7329684887667031,1.0
"d50ret,cons_m3s2c30",-999999.0,False,False,False,False,False,False,128,0.4609375,1.0961642513605805,1.542834426206526,20,0.203125,1.6203942286580442,0.6666666666666666,249,0.4779116465863454,1.1843451665922717,5.488492478988828,19,0.3534136546184739,0.4554984833395613,0.5833333333333334,102,0.45098039215686275,1.242132126073018,2.6576645445344664,19,0.5,0.9406755284978662,0.6
"d50ret,cons_m3s2c30",0.0,False,False,False,False,False,False,128,0.4609375,1.0961642513605805,1.542834426206526,20,0.203125,1.6203942286580442,0.6666666666666666,245,0.4816326530612245,1.2078796873966593,6.058224667916135,19,0.3469387755102041,0.41266214725244454,0.75,101,0.44554455445544555,1.2354981167569323,2.584849046511064,19,0.49504950495049505,0.967174467450782,0.6
"cons_m3s2c30,d50ret",-999999.0,False,False,False,False,False,False,128,0.4609375,1.0961642513605805,1.542834426206526,20,0.203125,1.6203942286580442,0.6666666666666666,249,0.4779116465863454,1.1843451665922717,5.488492478988828,19,0.3534136546184739,0.4554984833395613,0.5833333333333334,102,0.45098039215686275,1.242132126073018,2.6576645445344664,19,0.5,0.9406755284978662,0.6
"cons_m3s2c30,d50ret",0.0,False,False,False,False,False,False,128,0.4609375,1.0961642513605805,1.542834426206526,20,0.203125,1.6203942286580442,0.6666666666666666,245,0.4816326530612245,1.2078796873966593,6.058224667916135,19,0.3469387755102041,0.41266214725244454,0.75,101,0.44554455445544555,1.2354981167569323,2.584849046511064,19,0.49504950495049505,0.967174467450782,0.6
