ticker,sources,cap,minscore,daily_order,select_pass,test_pass,both,near,sel_tr,sel_wr,sel_pf,sel_minM,sel_pnl,sel_call,test_tr,test_wr,test_pf,test_minM,test_pnl,test_call
SPY,"d65win,cons_m2s1c45,d80",1,-999999.0,time_asc,False,False,False,1.9088471168743155,249,0.42971887550200805,1.082801116069708,19,2.4094675674911556,0.36947791164658633,96,0.5416666666666666,1.3600577002047003,17,3.2232449627687787,0.6458333333333334
SPY,"d65win,cons_m2s2c30,d80",1,-999999.0,time_asc,False,False,False,1.9088471168743155,249,0.42971887550200805,1.082801116069708,19,2.4094675674911556,0.36947791164658633,96,0.5416666666666666,1.3600577002047003,17,3.2232449627687787,0.6458333333333334
SPY,"d65win,cons_m3allc30,d80",1,-999999.0,time_asc,False,False,False,1.9088471168743155,249,0.42971887550200805,1.082801116069708,19,2.4094675674911556,0.36947791164658633,96,0.5416666666666666,1.3600577002047003,17,3.2232449627687787,0.6458333333333334
SPY,"d65win,cons_m3s2c30,d80",1,-999999.0,time_asc,False,False,False,1.9088471168743155,249,0.42971887550200805,1.082801116069708,19,2.4094675674911556,0.36947791164658633,96,0.5416666666666666,1.3600577002047003,17,3.2232449627687787,0.6458333333333334
SPY,"cons_m3allc30,d65ret,d65win",12,0.25,time_asc,False,False,False,1.9088449986379232,700,0.4357142857142857,1.0697560723399415,22,5.775386004989627,0.35285714285714287,318,0.44654088050314467,0.982596453672122,31,-0.7219600798380638,0.4559748427672956
SPY,"cons_m3allc30,d65ret,d65win",999,0.25,time_asc,False,False,False,1.9088449986379232,700,0.4357142857142857,1.0697560723399415,22,5.775386004989627,0.35285714285714287,318,0.44654088050314467,0.982596453672122,31,-0.7219600798380638,0.4559748427672956
SPY,"cons_m3allc30,d65win,d65ret",12,0.25,time_asc,False,False,False,1.9088449986379232,700,0.4357142857142857,1.0697560723399415,22,5.775386004989627,0.35285714285714287,318,0.44654088050314467,0.982596453672122,31,-0.721960079838063,0.4559748427672956
SPY,"cons_m3allc30,d65win,d65ret",999,0.25,time_asc,False,False,False,1.9088449986379232,700,0.4357142857142857,1.0697560723399415,22,5.775386004989627,0.35285714285714287,318,0.44654088050314467,0.982596453672122,31,-0.721960079838063,0.4559748427672956
SPY,"d65win,cons_m2s1c45,d80_front",5,0.0,time_asc,False,False,False,1.9087979343687962,659,0.424886191198786,0.9430125232417327,26,-4.2757900891102,0.4006069802731411,315,0.5047619047619047,1.2212125536871425,47,6.365712081937954,0.6031746031746031
SPY,"cons_m2s1c45,d80_front,d80",1,0.0,time_asc,False,False,False,1.908790174167609,245,0.43673469387755104,1.0710000445674681,19,2.140135681500529,0.3877551020408163,96,0.5208333333333334,1.4147109417647814,17,3.96540789075846,0.5625
SPY,"d80_front,cons_m2s1c45",5,0.0,time_asc,False,False,False,1.9087637539830165,472,0.4385593220338983,1.0042577386414417,21,0.20890285087853666,0.3919491525423729,247,0.4898785425101215,1.1935244156829246,27,4.385766479889097,0.5870445344129555
SPY,cons_m3s2c30,1,-999999.0,score_desc,False,False,False,1.9086987756191536,249,0.43775100401606426,1.0857488348545772,19,2.6903284415861446,0.3253012048192771,96,0.4791666666666667,1.1515245227851587,17,1.829565233265044,0.5208333333333334
