sources,maxday,minscore,select_pass,test_pass,sel_tr,sel_wr,sel_pf,sel_minM,sel_pnl,sel_call,test_tr,test_wr,test_pf,test_minM,test_pnl,test_call,both,near
"topk,cons22,ptdj35",4,-999999.0,True,True,217,0.47465437788018433,1.3227922645916463,67,9.390335670362887,0.5161290322580645,338,0.5118343195266272,1.5305159917904994,60,23.269453915438667,0.5325443786982249,True,2.2462856511957687
"wconly,ptdj35,cons32",5,0.2,True,True,248,0.47580645161290325,1.3326052015935195,80,11.12285047986757,0.5403225806451613,341,0.4809384164222874,1.5388366210822555,49,25.77177049987332,0.5043988269794721,True,2.2449315587461562
"ptdj35,wconly,cons32",5,0.2,True,True,248,0.47580645161290325,1.3326052015935195,80,11.12285047986757,0.5403225806451613,341,0.4809384164222874,1.5388366210822555,49,25.77177049987332,0.5043988269794721,True,2.2449315587461562
"wconly,cons32,ptdj35",5,0.2,True,True,248,0.47580645161290325,1.3326052015935195,80,11.12285047986757,0.5403225806451613,341,0.4809384164222874,1.5376939878485945,49,25.71712001712718,0.5043988269794721,True,2.243788925512495
"ptdj35,cons32,wconly",5,0.2,True,True,248,0.47580645161290325,1.3295913995555617,80,11.022064114280024,0.5403225806451613,341,0.4809384164222874,1.5388366210822555,49,25.77177049987332,0.5043988269794721,True,2.2419177567081987
"struct,ptdj35,cons22",4,-999999.0,True,True,217,0.47465437788018433,1.3227922645916463,67,9.390335670362889,0.5161290322580645,338,0.5088757396449705,1.5299415981597895,60,23.339316686139256,0.5355029585798816,True,2.239794097801745
"ptdj35,struct,cons22",4,-999999.0,True,True,217,0.47465437788018433,1.3227922645916463,67,9.390335670362889,0.5161290322580645,338,0.5088757396449705,1.5299415981597895,60,23.339316686139256,0.5355029585798816,True,2.239794097801745
"wconly,ptdj35,cons22",4,-999999.0,True,True,217,0.47465437788018433,1.3227922645916463,67,9.390335670362889,0.5161290322580645,336,0.5119047619047619,1.5209318136089043,60,22.68507952742641,0.5267857142857143,True,2.236842357770443
"ptdj35,wconly,cons22",4,-999999.0,True,True,217,0.47465437788018433,1.3227922645916463,67,9.390335670362889,0.5161290322580645,336,0.5119047619047619,1.5209318136089043,60,22.68507952742641,0.5267857142857143,True,2.236842357770443
"wconly,cons22,ptdj80",6,0.5,True,True,278,0.5107913669064749,1.3068017202279987,75,10.452345157444382,0.6762589928057554,345,0.5072463768115942,1.5112498159825067,50,22.16753370444602,0.5768115942028985,True,2.2341270236466433
"struct,cons22,ptdj35",4,-999999.0,True,True,217,0.47465437788018433,1.3227922645916463,67,9.390335670362887,0.5161290322580645,338,0.5088757396449705,1.5217286393081788,60,22.97760730489121,0.5355029585798816,True,2.2315811389501348
"cons22,wconly,ptdj80",6,0.5,True,True,278,0.5107913669064749,1.3068017202279987,75,10.452345157444382,0.6762589928057554,345,0.5072463768115942,1.5059652501335679,50,21.938397599341332,0.5768115942028985,True,2.2288424577977044
"wconly,cons22,ptdj35",4,-999999.0,True,True,217,0.47465437788018433,1.3227922645916463,67,9.390335670362887,0.5161290322580645,336,0.5119047619047619,1.509654402297904,60,22.193980758316492,0.5267857142857143,True,2.2255649464594423
"topk,ptdj35,cons22",4,0.2,True,True,213,0.4788732394366197,1.355545506867386,67,10.086222032753057,0.5164319248826291,299,0.49498327759197325,1.655538172166888,52,27.188898583391904,0.5117056856187291,True,2.21879671309146
"ptdj35,topk,cons22",4,0.2,True,True,213,0.4788732394366197,1.355545506867386,67,10.086222032753057,0.5164319248826291,299,0.49498327759197325,1.655538172166888,52,27.188898583391904,0.5117056856187291,True,2.21879671309146
"cons32,wconly,ptdj35",5,0.2,True,True,248,0.4717741935483871,1.309924411946295,80,10.401678881903809,0.5403225806451613,341,0.4809384164222874,1.5403943850259363,49,25.720581596806007,0.5043988269794721,True,2.2157440169135802
"cons32,ptdj35,wconly",5,0.2,True,True,248,0.4717741935483871,1.309924411946295,80,10.401678881903809,0.5403225806451613,341,0.4809384164222874,1.5403943850259363,49,25.720581596806007,0.5043988269794721,True,2.2157440169135802
"topk,cons22,ptdj35",4,0.2,True,True,213,0.4788732394366197,1.355545506867386,67,10.086222032753057,0.5164319248826291,299,0.49498327759197325,1.6486959332098883,52,26.905111995541073,0.5117056856187291,True,2.21195447413446
"ptdj35,cons22,topk",4,0.2,True,True,213,0.47417840375586856,1.32394807226973,67,9.262179798797401,0.5164319248826291,299,0.49498327759197325,1.655538172166888,52,27.188898583391904,0.5117056856187291,True,2.1778096071323017
"cons22,struct,ptdj80",5,0.5,True,True,250,0.512,1.32282439832353,72,10.120364594384045,0.652,332,0.5,1.4688760359495632,52,20.592273455724722,0.5662650602409639,True,2.175700434273093
"struct,cons22,ptdj80",5,0.5,True,True,250,0.512,1.32282439832353,72,10.120364594384045,0.652,332,0.5,1.4688760359495632,52,20.592273455724722,0.5662650602409639,True,2.175700434273093
"struct,ptdj35,cons22",4,0.2,True,True,213,0.4788732394366197,1.355545506867386,67,10.086222032753057,0.5164319248826291,300,0.49,1.6174082779502146,52,26.10603132428251,0.5133333333333333,True,2.17070026369084
