path,dir,file,ticker,v25_trades,v25_wr,v25_pf,v25_r,v25_min_month,v25_pos_months,v25_months,v25_call_rate,t26_trades,t26_wr,t26_pf,t26_r,t26_min_month,t26_pos_months,t26_months,t26_call_rate
research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_spy_mixed_delta35_win_ptdj_2025h2_2026jun,event_option_gate_trades.csv,SPY,293,0.3993174061433447,0.9305784183660263,-3.2362567883111426,0,2,12,0.6143344709897611,190,0.4263157894736842,1.1638901906542904,4.351991361162636,18,4,6,0.37894736842105264
research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_ptdj_all13_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_spy_mixed_delta35_win_ptdj_all13_2025h2_2026jun,event_option_gate_trades.csv,SPY,195,0.38974358974358975,0.9690985505730272,-0.8586474773251156,0,2,12,0.4564102564102564,206,0.38349514563106796,0.9801658444124721,-0.5668802653388334,0,2,6,0.46601941747572817
research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_tdvp_only_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_spy_mixed_delta35_win_tdvp_only_v1_2025h2_2026jun,event_option_gate_trades.csv,SPY,165,0.4121212121212121,1.0216151112016487,0.5435048703452181,0,2,12,0.7212121212121212,142,0.3873239436619718,1.024339846180984,0.5452206181741559,0,3,6,0.7605633802816901
research_papers\JEPA\results\event_option_gate_spy_mixed_delta35_win_tdvp_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_spy_mixed_delta35_win_tdvp_v1_2025h2_2026jun,event_option_gate_trades.csv,SPY,276,0.4166666666666667,1.0885070724446193,3.6974211996054485,0,3,12,0.5108695652173914,187,0.39037433155080214,0.9705258345730019,-0.8975687648508828,12,3,6,0.3048128342245989
research_papers\JEPA\results\event_option_gate_spy_mixed_delta65_win_ptdj_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_spy_mixed_delta65_win_ptdj_2025h2_2026jun,event_option_gate_trades.csv,SPY,690,0.4434782608695652,0.9975039554808772,-0.22076801601714635,0,2,12,0.4971014492753623,437,0.41418764302059496,0.9959957686930907,-0.23243116429765312,0,2,6,0.37757437070938216
research_papers\JEPA\results\event_option_gate_spy_mixed_delta80_win_ptdj_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_spy_mixed_delta80_win_ptdj_2025h2_2026jun,event_option_gate_trades.csv,SPY,670,0.4835820895522388,1.018657246734548,1.3508053965336877,0,3,12,0.6179104477611941,358,0.4581005586592179,0.9766162789749502,-0.9548969047753157,0,2,6,0.553072625698324
research_papers\JEPA\results\event_option_gate_wide_2024train_spxw_spy_qqq_2025h2_2026\event_option_gate_trades.csv,event_option_gate_wide_2024train_spxw_spy_qqq_2025h2_2026,event_option_gate_trades.csv,SPXW,202,0.42574257425742573,1.3160110078300813,8.125177916508216,0,4,12,0.6485148514851485,167,0.3712574850299401,0.9725719141642247,-0.7291519731265681,0,2,6,0.6227544910179641
research_papers\JEPA\results\event_option_gate_wide_2024train_spxw_spy_qqq_2025h2_2026\event_option_gate_trades.csv,event_option_gate_wide_2024train_spxw_spy_qqq_2025h2_2026,event_option_gate_trades.csv,SPY,201,0.373134328358209,0.8236248721674359,-5.383861467193276,0,2,12,0.6268656716417911,128,0.375,0.7298172054999065,-5.482435823467673,0,1,6,0.7890625
research_papers\JEPA\results\event_option_gate_wide_2024train_spxw_spy_qqq_2025h2_2026\event_option_gate_trades.csv,event_option_gate_wide_2024train_spxw_spy_qqq_2025h2_2026,event_option_gate_trades.csv,QQQ,185,0.3945945945945946,0.8741473376122464,-2.9808742644094703,0,3,12,0.7513513513513513,252,0.4007936507936508,0.9234728277705992,-2.7777356861009412,0,1,6,0.7341269841269841
research_papers\JEPA\results\event_option_gate_wide_delta35_quantile_front_weekly_2025h2_2026janmay\event_option_gate_trades.csv,event_option_gate_wide_delta35_quantile_front_weekly_2025h2_2026janmay,event_option_gate_trades.csv,SPXW,132,0.3939393939393939,0.9989044607505317,-0.016884071412762935,0,3,12,0.5757575757575758,83,0.6144578313253012,2.5049682438907723,9.543654083757678,0,5,6,0.7831325301204819
