path,all_metric_pass,hold_proven,hold_issue,raw_banned_cols,feature_banned,feature_count,research_audit,SPXW_trades,SPXW_wr,SPXW_pf,SPXW_min_month,SPXW_pos_month,SPXW_pnl,QQQ_trades,QQQ_wr,QQQ_pf,QQQ_min_month,QQQ_pos_month,QQQ_pnl,SPY_trades,SPY_wr,SPY_pf,SPY_min_month,SPY_pos_month,SPY_pnl
research_papers\JEPA\results\event_option_gate_8ticker_medium_even\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,164,0.3231707317073171,0.7911298619887831,3,0.3333333333333333,-5.6272810179632,122,0.36065573770491804,0.8873566331518257,4,0.5,-2.1730947611996547,110,0.33636363636363636,0.9064112924214515,3,0.5,-1.763145782267891
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_mixed_d50d25_causal_2025_2026_v1\combined_trades.csv,False,False,missing,2,0,0,missing,128,0.5,1.6666666666666667,0,0.5,12.8,193,0.43523316062176165,1.2844036697247712,0,0.6666666666666666,9.3,154,0.44805194805194803,1.3529411764705883,0,0.5,9.0
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedmax3_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,0,,,0,0.0,0.0,288,0.3888888888888889,1.0606060606060608,0,0.5,3.1999999999999984,0,,,0,0.0,0.0
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedmax3_d25_physctx_2025_2026_qqq_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,0,,,0,0.0,0.0,288,0.3888888888888889,1.0606060606060608,0,0.5,3.1999999999999984,0,,,0,0.0,0.0
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedmax3_d35_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,0,,,0,0.0,0.0,288,0.40625,1.136399558131157,0,0.5,6.997297332128351,0,,,0,0.0,0.0
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedmax3_d35_physctx_2025_2026_qqq_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,0,,,0,0.0,0.0,288,0.40625,1.136399558131157,0,0.5,6.997297332128351,0,,,0,0.0,0.0
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedmax3_d50_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,0,,,0,0.0,0.0,288,0.3645833333333333,0.9595559405010152,0,0.3333333333333333,-2.2128080647263313,0,,,0,0.0,0.0
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedmax3_d50_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,306,0.41830065359477125,1.2027045344722622,0,0.3333333333333333,10.786597900304132,0,,,0,0.0,0.0,0,,,0,0.0,0.0
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedmax3_d50_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,0,,,0,0.0,0.0,0,,,0,0.0,0.0,288,0.4027777777777778,1.1301305290647063,0,0.5,6.678494644330435
research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedmax3_d50_physctx_2025_2026_qqq_v1\event_option_gate_trades.csv,False,False,missing,1,0,0,missing,0,,,0,0.0,0.0,288,0.3645833333333333,0.9595559405010152,0,0.3333333333333333,-2.2128080647263313,0,,,0,0.0,0.0
