sources,cap,min_score,daily_order,select_pass,test2025_pass,test2026_pass,sel_trades,sel_wr,sel_pf,sel_pnl,sel_minM,sel_call,sel_top5,sel_posM,t2025_trades,t2025_wr,t2025_pf,t2025_pnl,t2025_minM,t2025_call,t2025_top5,t2025_posM,t2026_trades,t2026_wr,t2026_pf,t2026_pnl,t2026_minM,t2026_call,t2026_top5,t2026_posM
"d80_front,cons_m2s2c30,d80",4,0.0,score_desc,False,False,True,451,0.43237250554323725,1.0682120896216338,4.56617050215569,52,0.14412416851441243,2.1900189656253524,0.6666666666666666,761,0.45992115637319314,1.1293054607262727,12.085104465469467,24,0.3745072273324573,0.7479737612054925,0.6666666666666666,340,0.5117647058823529,1.3942124879085178,12.365003816662144,54,0.5470588235294118,0.6294367809861985,0.8
"d80_front,cons_m2s2c30,d80",5,-999999.0,time_asc,False,False,False,531,0.4425612052730697,1.0229551110891075,1.6477224141483466,52,0.16195856873822975,6.629572501064138,0.6666666666666666,939,0.4547390841320554,1.0991565645635766,10.505755751418722,35,0.40894568690095845,0.9739551748009274,0.5833333333333334,397,0.48866498740554154,1.1940727100568138,7.433387444646288,59,0.5566750629722922,0.9981721311709515,0.8
"d80_front,cons_m2s2c30,d80",5,-999999.0,score_desc,False,False,True,531,0.4199623352165725,1.0115694784738558,0.9082748465779193,52,0.14689265536723164,12.702448979478884,0.6666666666666666,939,0.4547390841320554,1.0698157922126936,7.916777053303489,35,0.3876464323748669,1.245707274213065,0.6666666666666666,397,0.5012594458438288,1.31704427110569,11.78484717805463,59,0.5491183879093199,0.7017333077457835,0.8
"d80_front,cons_m2s2c30,d80",5,0.0,time_asc,False,False,True,528,0.4431818181818182,1.031381518846024,2.250170104892735,52,0.1571969696969697,4.854608628242184,0.6666666666666666,874,0.4633867276887872,1.1328266005305132,13.015225947548709,24,0.38558352402745993,0.760619340679028,0.5833333333333334,383,0.5013054830287206,1.3050433419574214,10.48806892135371,56,0.5587467362924282,0.825237368320141,0.8
"d80_front,cons_m2s2c30,d80",5,0.0,score_desc,False,False,True,528,0.42045454545454547,1.0106616604945202,0.8361896789387673,52,0.14204545454545456,13.797485413408086,0.6666666666666666,874,0.4576659038901602,1.092631186248563,9.797085814074787,24,0.37414187643020597,1.0066245157774574,0.6666666666666666,383,0.5091383812010444,1.3542284977655894,12.568117563791546,56,0.5456919060052219,0.6579998754435585,0.8
"d80_front,cons_m3allc30,d80",1,-999999.0,time_asc,False,False,False,128,0.4765625,1.0906756514818179,1.4174417466879394,20,0.1796875,1.7637409126982584,0.5,249,0.46184738955823296,1.0995555779754147,2.532751975541482,19,0.4457831325301205,0.9870686210660323,0.5,102,0.4803921568627451,1.1123348843680019,1.0703992113183296,19,0.5980392156862745,2.3355772066768803,0.6
"d80_front,cons_m3allc30,d80",1,-999999.0,score_desc,False,True,True,128,0.5,1.4358778658257152,6.065197207188977,20,0.1796875,0.41218775162607935,0.8333333333333334,249,0.4939759036144578,1.3147174917667594,8.741436039415392,19,0.3333333333333333,0.28599419920564845,0.75,102,0.5294117647058824,1.693956664636276,6.383925924122743,19,0.5196078431372549,0.3916085540017511,0.8
"d80_front,cons_m3allc30,d80",1,0.0,time_asc,False,False,False,128,0.4765625,1.1098621910445658,1.7173657252454217,20,0.1796875,1.455717884228029,0.5,246,0.4715447154471545,1.2201423827321134,5.704190617153748,19,0.4024390243902439,0.4382742737386709,0.6666666666666666,102,0.49019607843137253,1.1578740724118668,1.434734353177794,19,0.6078431372549019,1.7424828467114823,0.6
"d80_front,cons_m3allc30,d80",1,0.0,score_desc,False,True,True,128,0.5,1.4358778658257152,6.065197207188977,20,0.1796875,0.41218775162607935,0.8333333333333334,246,0.4959349593495935,1.3230327373825859,8.901295778661916,19,0.32926829268292684,0.2808579854174682,0.75,102,0.5294117647058824,1.693956664636276,6.383925924122743,19,0.5196078431372549,0.3916085540017511,0.8
"d80_front,cons_m3allc30,d80",2,-999999.0,time_asc,False,False,True,252,0.4642857142857143,1.0429122165026596,1.389281643968358,36,0.1746031746031746,3.59898226663238,0.5,483,0.474120082815735,1.1941590006893672,10.095606045755204,33,0.4140786749482402,0.49526496748576065,0.5,203,0.5024630541871922,1.3015761916438189,5.552843461049845,38,0.5960591133004927,0.8645278587214402,0.8
