ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,source_stream,source_file,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode
QQQ,20260202,202602,10:15,615,zero_dte,PUT,0.291369983528596,-0.3019977412497598,0.291369983528596,0.5,-0.3,-0.3,thr-999.000_maxday3,202602,615,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,779,1,1,0,18,False,fallback_volume_pace
QQQ,20260203,202602,10:25,625,zero_dte,PUT,0.2523081171017111,0.1701206564878829,0.2523081171017111,0.5,-0.3,-0.3,thr-999.000_maxday3,202602,625,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,782,1,2,1,18,False,fallback_volume_pace
QQQ,20260204,202602,10:00,600,zero_dte,CALL,0.4154193825389857,0.4154193825389857,0.2060117662595948,0.5,-0.3,0.5,thr-999.000_maxday3,202602,600,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,785,1,3,2,18,False,fallback_volume_pace
QQQ,20260205,202602,10:15,615,zero_dte,PUT,0.2311860382563064,-0.1773063153862362,0.2311860382563064,0.5,-0.3,-0.3,thr-999.000_maxday3,202602,615,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,788,1,4,3,18,False,fallback_volume_pace
QQQ,20260206,202602,11:05,665,zero_dte,PUT,0.2471926535700311,-0.3115300226652103,0.2471926535700311,0.5,-0.3,-0.3,thr-999.000_maxday3,202602,665,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,790,1,5,4,18,False,fallback_volume_pace
QQQ,20260209,202602,10:10,610,zero_dte,PUT,0.2687719879310549,-0.2784157734963856,0.2687719879310549,-0.3,-0.3,-0.3,thr-999.000_maxday3,202602,610,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,793,1,6,5,18,False,fallback_volume_pace
QQQ,20260210,202602,10:05,605,zero_dte,PUT,0.3177651867102407,-0.2359155291111992,0.3177651867102407,-0.3,-0.3,-0.3,thr-999.000_maxday3,202602,605,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,796,1,7,6,18,False,fallback_volume_pace
QQQ,20260211,202602,10:20,620,zero_dte,CALL,0.2130068813908494,0.2130068813908494,0.2060117662595948,0.5,-0.3,0.5,thr-999.000_maxday3,202602,620,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,799,1,8,7,18,False,fallback_volume_pace
QQQ,20260212,202602,10:00,600,zero_dte,PUT,0.225788699469003,0.0116087267963493,0.225788699469003,-0.3,-0.3,-0.3,thr-999.000_maxday3,202602,600,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,800,1,9,8,18,False,fallback_volume_pace
QQQ,20260217,202602,10:00,600,zero_dte,CALL,0.3673187404318505,0.3673187404318505,0.2523081171017111,0.5,-0.3,0.5,thr-999.000_maxday3,202602,600,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,806,1,11,9,18,False,fallback_volume_pace
QQQ,20260217,202602,10:30,630,zero_dte,PUT,0.2524771463427543,0.0509486300749072,0.2524771463427543,0.5,-0.3,-0.3,thr-999.000_maxday3,202602,630,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,807,1,11,10,18,False,fallback_volume_pace
QQQ,20260218,202602,10:05,605,zero_dte,PUT,0.4527420019113475,-0.3247662397642892,0.4527420019113475,0.1605504100526018,-0.3,-0.3,thr-999.000_maxday3,202602,605,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,809,1,12,11,18,False,fallback_volume_pace
QQQ,20260219,202602,10:05,605,zero_dte,PUT,0.2280398354874385,-0.2699702504592107,0.2280398354874385,-0.3,-0.3,-0.3,thr-999.000_maxday3,202602,605,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,812,1,13,12,18,False,fallback_volume_pace
QQQ,20260220,202602,10:45,645,zero_dte,PUT,0.0425488376007463,-0.2475915198434378,0.0425488376007463,0.5,-0.3,-0.3,thr-999.000_maxday3,202602,645,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,815,1,14,13,18,False,fallback_volume_pace
QQQ,20260223,202602,10:05,605,zero_dte,CALL,0.2904626527946896,0.2904626527946896,0.2469107783144076,-0.3,-0.3,-0.3,thr-999.000_maxday3,202602,605,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,818,1,15,14,18,False,fallback_volume_pace
QQQ,20260224,202602,10:30,630,zero_dte,PUT,0.3396450058960897,-0.262326014159043,0.3396450058960897,-0.3,-0.3,-0.3,thr-999.000_maxday3,202602,630,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,821,1,16,15,18,False,fallback_volume_pace
QQQ,20260225,202602,10:00,600,zero_dte,PUT,0.5090815101512828,-0.3044462269857981,0.5090815101512828,-0.3,-0.3,-0.3,thr-999.000_maxday3,202602,600,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,824,1,17,16,18,False,fallback_volume_pace
QQQ,20260226,202602,10:20,620,zero_dte,PUT,0.2311860382563064,0.210935572402991,0.2311860382563064,-0.3,-0.3,-0.3,thr-999.000_maxday3,202602,620,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,827,1,18,17,18,False,fallback_volume_pace
QQQ,20260302,202603,10:10,610,zero_dte,CALL,0.061440139140762,0.061440139140762,-0.0096028380055052,-0.3,0.5,-0.3,thr-999.000_maxday3,202603,610,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,833,1,1,0,18,False,fallback_volume_pace
QQQ,20260302,202603,10:45,645,zero_dte,PUT,0.5722083268694972,0.3162066881508256,0.5722083268694972,-0.3,0.5,0.5,thr0.501_maxday1,202603,645,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,20,0,1,1,18,False,primary
QQQ,20260303,202603,10:25,625,zero_dte,CALL,0.6685550598042237,0.6685550598042237,0.3131265728785878,0.5,-0.3,0.5,thr0.501_maxday1,202603,625,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,21,0,2,2,18,False,primary
QQQ,20260304,202603,10:55,655,zero_dte,PUT,0.6025479991923928,0.3883385624580413,0.6025479991923928,0.5,-0.3,-0.3,thr0.501_maxday1,202603,655,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,22,0,3,3,18,False,primary
QQQ,20260305,202603,10:00,600,zero_dte,PUT,0.5169402713254667,0.2200697183638202,0.5169402713254667,-0.3,0.5,0.5,thr0.501_maxday1,202603,600,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,23,0,4,4,18,False,primary
QQQ,20260306,202603,10:40,640,zero_dte,CALL,0.5513542581055799,0.5513542581055799,0.2663265342522492,-0.3,0.5,-0.3,thr0.501_maxday1,202603,640,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,24,0,5,5,18,False,primary
QQQ,20260309,202603,10:15,615,zero_dte,CALL,0.5351696621981837,0.5351696621981837,0.353590217946533,0.5,-0.3,0.5,thr0.501_maxday1,202603,615,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,25,0,5,6,18,False,primary
QQQ,20260310,202603,10:00,600,zero_dte,CALL,0.7292425977610955,0.7292425977610955,0.3025316182210454,0.5,-0.3,0.5,thr0.501_maxday1,202603,600,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,26,0,6,7,18,False,primary
QQQ,20260311,202603,10:00,600,zero_dte,PUT,0.5597401925465342,0.2273436444587262,0.5597401925465342,-0.3,0.5,0.5,thr0.501_maxday1,202603,600,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,27,0,7,8,18,False,primary
QQQ,20260312,202603,10:30,630,zero_dte,CALL,0.7207448924791251,0.7207448924791251,0.3458589815261954,-0.3,-0.3,-0.3,thr0.501_maxday1,202603,630,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,28,0,8,9,18,False,primary
QQQ,20260313,202603,10:15,615,zero_dte,CALL,0.6959247277221797,0.6959247277221797,0.2602177391541346,-0.3,-0.3,-0.3,thr0.501_maxday1,202603,615,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,29,0,9,10,18,False,primary
QQQ,20260316,202603,10:15,615,zero_dte,PUT,0.5558839799274125,0.2908819007193164,0.5558839799274125,-0.3,0.5,0.5,thr0.501_maxday1,202603,615,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,30,0,9,11,18,False,primary
QQQ,20260317,202603,11:00,660,zero_dte,PUT,0.5264988576377583,0.2669187874837523,0.5264988576377583,-0.3,0.5,0.5,thr0.501_maxday1,202603,660,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,31,0,10,12,18,False,primary
QQQ,20260318,202603,10:25,625,zero_dte,CALL,0.6344810417963064,0.6344810417963064,0.2847260912925811,-0.3,-0.3,-0.3,thr0.501_maxday1,202603,625,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,32,0,11,13,18,False,primary
QQQ,20260319,202603,10:05,605,zero_dte,CALL,0.5121485954617587,0.5121485954617587,0.2675112874984615,-0.3,0.5,-0.3,thr0.501_maxday1,202603,605,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,33,0,12,14,18,False,primary
