ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,exit_minutes,exit_status,deploy_config,test_month
SPY,20260317,202603,10:30,630,zero_dte,PUT,0.0019716155220171096,-0.09621838743926321,0.0019716155220171096,-0.6,0.28658536762655107,0.28658536762655107,64,1,thr-0.200_maxday2,202603
SPY,20260318,202603,10:00,600,zero_dte,CALL,0.20857010207899343,0.20857010207899343,-0.09185352554999365,-0.6,0.659677502714511,-0.6,106,-1,thr-0.200_maxday2,202603
SPY,20260318,202603,10:30,630,zero_dte,PUT,0.1300092036146238,-0.29477240182618325,0.1300092036146238,-0.4375000206960564,-0.10156249854480848,-0.10156249854480848,180,0,thr-0.200_maxday2,202603
SPY,20260319,202603,10:00,600,zero_dte,CALL,0.044246263475357456,0.044246263475357456,-0.44879355672287186,-0.6,0.7270992574807928,-0.6,30,-1,thr-0.200_maxday2,202603
SPY,20260319,202603,10:35,635,zero_dte,CALL,0.19984043795514006,0.19984043795514006,-0.20861966554167005,-0.6,0.4788136038414488,-0.6,56,-1,thr-0.200_maxday2,202603
SPY,20260320,202603,10:15,615,zero_dte,CALL,-0.017763403837600666,-0.017763403837600666,-0.3966835662358061,0.2919847856180082,-0.6,0.2919847856180082,68,1,thr-0.200_maxday2,202603
SPY,20260320,202603,10:45,645,zero_dte,CALL,0.1231640203353846,0.1231640203353846,-0.4732963581086932,0.41942141920920695,-0.6,0.41942141920920695,38,1,thr-0.200_maxday2,202603
SPY,20260323,202603,10:20,620,zero_dte,PUT,0.2339914774554776,0.18103914917501993,0.2339914774554776,-0.6,0.4531250902218764,0.4531250902218764,86,1,thr-0.200_maxday2,202603
SPY,20260323,202603,11:00,660,zero_dte,CALL,0.1694510541309631,0.1694510541309631,-0.5025895167644188,0.37499994920058666,0.3230337063601907,0.37499994920058666,30,1,thr-0.200_maxday2,202603
SPY,20260324,202603,10:10,610,zero_dte,CALL,0.1989530725471318,0.1989530725471318,-0.14324938173443294,0.45085477139274466,0.28278685320900654,0.45085477139274466,41,1,thr-0.200_maxday2,202603
SPY,20260324,202603,10:40,640,zero_dte,CALL,0.22103270363162578,0.22103270363162578,0.09632427121192841,1.172413813479591,-0.6,1.172413813479591,30,1,thr-0.200_maxday2,202603
SPY,20260325,202603,10:00,600,zero_dte,CALL,0.09914251193401871,0.09914251193401871,0.007853627779895948,0.3252212202663811,-0.6,0.3252212202663811,30,1,thr-0.200_maxday2,202603
SPY,20260325,202603,11:15,675,zero_dte,CALL,0.3979576034718719,0.3979576034718719,-0.2718903878853729,0.3855139385176447,1.0318181236913393,0.3855139385176447,30,1,thr-0.200_maxday2,202603
SPY,20260326,202603,10:00,600,zero_dte,PUT,-0.1434637430737574,-0.2311253484955573,-0.1434637430737574,-0.6,0.3145161631452178,0.3145161631452178,53,1,thr-0.200_maxday2,202603
SPY,20260326,202603,10:30,630,zero_dte,PUT,0.17832331730927664,-0.181213432476186,0.17832331730927664,-0.6,0.9722222222222223,0.9722222222222223,30,1,thr-0.200_maxday2,202603
SPY,20260327,202603,10:00,600,zero_dte,PUT,-0.18209333022611898,-0.25297844791247703,-0.18209333022611898,-0.6,-0.6,-0.6,91,-1,thr-0.200_maxday2,202603
SPY,20260327,202603,10:30,630,zero_dte,PUT,-0.11480836377730025,-0.181494912151985,-0.11480836377730025,0.2954544551444811,-0.6,-0.6,61,-1,thr-0.200_maxday2,202603
SPY,20260330,202603,10:00,600,zero_dte,PUT,0.2955486390110742,-0.2575104943789805,0.2955486390110742,0.4970587913552791,-0.6,-0.6,60,-1,thr-0.200_maxday2,202603
SPY,20260330,202603,10:35,635,zero_dte,CALL,0.13662284249661835,0.13662284249661835,-0.19114464928403366,0.8772726031374365,-0.6,0.8772726031374365,30,1,thr-0.200_maxday2,202603
SPY,20260331,202603,10:00,600,zero_dte,CALL,0.09954553927053486,0.09954553927053486,0.00017099546712465147,-0.6,0.393410812597077,-0.6,42,-1,thr-0.200_maxday2,202603
