ticker,trade_date,expiration,role,kind,path,size_bytes,sha256
QQQ,20230111,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230111.parquet,12777,1b1b1821df316deb7943215a5e6ad1f62bd25cc959519e6e9d6362dca799c43a
QQQ,20230112,20230113,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230113_20230112_greeks.parquet,2037358,c2921309899f7efacd87e735a298c060816c7e245d18918bc3b6114f4b6c760c
QQQ,20230112,20230113,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230113_20230112_iv.parquet,906860,6e222596aa934f105b5dae4aa7f78faa773663d51ad8f88841cb2e9161fd051f
QQQ,20230112,20230112,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230112_20230112_greeks.parquet,1310693,78ce4292f43c31d34587f7e05920d76b96ae8c478a856c649e059c92945c4e80
QQQ,20230112,20230112,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230112_20230112_iv.parquet,678478,93a83ae70516d00ae11f6483465811e7301579c759f57bffc574bfa37ed2e78e
QQQ,20230112,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230112.parquet,13184,47f9a75c6202fbd711b876b5333f7c7d9e7ada27094a0b3020121c53d24ef6cd
QQQ,20230113,20230120,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230120_20230113_greeks.parquet,2993443,b0179e9d66428fca36b6fc848323b29c0c2e2f6663a8421716df00fcc8ff5a64
QQQ,20230113,20230120,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230120_20230113_iv.parquet,1468488,3958e263c150185ae12938aa5aa52551025d2405a8549b4c307a8744c4e204cd
QQQ,20230113,20230113,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230113_20230113_greeks.parquet,1566889,cb73b992fd1895d0ee86ba46ccb6d0ee96feed3382cd562b40cd11c8e827cc28
QQQ,20230113,20230113,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230113_20230113_iv.parquet,837514,659ac2b5bdffcd0e4685ccca974ca61e10aa82760698571c2c44fe78ddd6884c
QQQ,20230113,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230113.parquet,12997,ada9905d28001100d0fe0d82b9b9f289224fcead73823e489d721beb54398934
QQQ,20230117,20230120,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230120_20230117_greeks.parquet,3263182,0753c77451777593416e65a74be9d869953eeb749bc266524f74f15fd566e0fb
QQQ,20230117,20230120,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230120_20230117_iv.parquet,1376138,8c04a22e52a4dff3f3c7615f6d3059e7e991e0eda40b91fca6dcdaef18d744b6
QQQ,20230117,20230117,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230117_20230117_greeks.parquet,1243721,4fa7ea2f508b20f4162d11f60116f8a99b9c664830d20a6f23a4ada4ff543fa6
QQQ,20230117,20230117,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230117_20230117_iv.parquet,667332,73a39f47f04f55c6a544fe7a35b952e4e08a3ac86ec1706c95672f682589e608
QQQ,20230117,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230117.parquet,12059,4abddc3ac3e63779c72bad0e582cccb087c06b42c9313605af0743f0dd3da82f
QQQ,20230118,20230120,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230120_20230118_greeks.parquet,3078154,35ee0f3325cfc2db77a450d99c59ca3a558366cbaa3f2e50cb0fc47e948b66b9
QQQ,20230118,20230120,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230120_20230118_iv.parquet,1375641,3bff12d7a948f2ac1c8c91b3997505662887348a20f8246501fe4c74e500b8a0
QQQ,20230118,20230118,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230118_20230118_greeks.parquet,1298039,7fbfc853b346a75dd2b05cf145f9836a978dc66abb9f9f611aabc311917f2836
QQQ,20230118,20230118,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230118_20230118_iv.parquet,682047,2b64fb0f7251f506e316486588c5a627316640d46b63d2ef0a15b1fad5d7f1bb
QQQ,20230118,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230118.parquet,13113,db108110dbfc266159ebcd4767f9fd1770069189f0ac85960d2f4a959408363e
QQQ,20230119,20230120,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230120_20230119_greeks.parquet,2725450,1a7f6efbd019934bd9184713e88b29686e80823386ad6fdd499fd3c0f723344a
QQQ,20230119,20230120,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230120_20230119_iv.parquet,1332239,778a604a81a7b0e7a751f06250e7cc4528c81fb8841a6cd393e3e4d5d32b04ad
QQQ,20230119,20230119,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230119_20230119_greeks.parquet,1241117,a1bf244092f61af48f84a3ae45a15f900eefabdf065bb47958edf426133212fa
QQQ,20230119,20230119,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230119_20230119_iv.parquet,639230,c0d7bbd53afbc7c48ff64ea0238c9556b6b14a6d127334604f08cf94ac0431f2
QQQ,20230119,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230119.parquet,12825,cd6cc54f4d474270e9a1d206632e63416dcf77b3cb0caeae49d25bbb2fc74386
QQQ,20230120,20230127,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230127_20230120_greeks.parquet,2793047,26341c2595cbc301d761f73e196b863af5bafcbe6b84e4fa2157105876b0b576
QQQ,20230120,20230127,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230127_20230120_iv.parquet,1059546,b0e99a750f4de2465128ab363c0805abf00410479b2fb69197ad7d30787a8f82
QQQ,20230120,20230120,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230120_20230120_greeks.parquet,2089095,88972a7196a83fb0cb8582c0a8ffcaddec88fb36d41e3b15ec534d7e94f5fb18
QQQ,20230120,20230120,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230120_20230120_iv.parquet,1321921,c72f2218409d1bacbcb791249007f0142304cd7556081b19da5ab3b8ec448afb
QQQ,20230120,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230120.parquet,13586,3f49f69b4884ab8625f236e62b731b7f724582b2fe9f95cd8b0747392dc20dc3
QQQ,20230123,20230127,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230127_20230123_greeks.parquet,2846021,8fdc8c2b1fd4e322f489c5e90e25fcd00a1654779292a8949aa835f7f96c031f
QQQ,20230123,20230127,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230127_20230123_iv.parquet,1009230,8cf265afe0948b7f9c98ec71982233fb5c9fe1ec515120bc9bb339b7abb68764
QQQ,20230123,20230123,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230123_20230123_greeks.parquet,1219562,b6e520a27309cd644d31a0eb67006869e1ea5e3c3c4a79b0444fc7f3c666575f
QQQ,20230123,20230123,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230123_20230123_iv.parquet,652358,db4d1bf64f7491dc9b69529d4b889f82d3282cd36f0aa26a2d30f9a9dd6cd417
QQQ,20230123,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230123.parquet,13247,5ad9a4fb9c05a9d072c59aececc13f34076f688ea0a8a4eaaade3e3920cdc0ff
QQQ,20230124,20230127,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230127_20230124_greeks.parquet,2643139,c98ab2c5cfd78dc48c3c4fb10fe9df5e9607f84c801eb70169198f5e483fa6b0
QQQ,20230124,20230127,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230127_20230124_iv.parquet,966060,561bb28917cd8b8b82e230e168a17ee9606df27420fbfb60c67e44c7909bf4ab
QQQ,20230124,20230124,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230124_20230124_greeks.parquet,1285499,a3a0e88523482681e2989dd9af238004e94fadd821b2c0bc8f63d531c1f79a94
QQQ,20230124,20230124,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230124_20230124_iv.parquet,658535,bf43a9d70d4854699a5fea23e182574d3759efdaf9b665d639d3fd2b159b2b5b
QQQ,20230124,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230124.parquet,11859,3d245bcd1871af39e168673697a55c9074e5cf3cf09bc96c2859ebc94d32ff6b
