ticker,year,feature,rows,missing_rate,zero_rate,distinct_values,minimum,maximum
QQQ,2023,surface_call_count_w1m,887,0.0,0.0,315,19.0,1143.0
QQQ,2023,surface_call_close_notional_w1m,887,0.0,0.0,873,3682.0,971333.0
QQQ,2023,surface_call_signed_volume_w1m,887,0.0,0.0,814,-6711.0,12350.0
QQQ,2023,surface_call_signed_count_w1m,887,0.0,0.0011273957158962795,458,-765.0,722.0
QQQ,2023,surface_call_signed_close_notional_w1m,887,0.0,0.0,874,-919728.0,971234.0
QQQ,2023,surface_call_quote_row_coverage_w1m,887,0.0,0.0,45,0.42857142857142855,1.0
QQQ,2023,surface_call_quote_volume_coverage_w1m,887,0.0,0.0,467,0.20892193308550186,1.0
QQQ,2023,surface_call_price_volume_coverage_w1m,887,0.0,0.0,2,0.9942476140671983,1.0
QQQ,2023,surface_call_signable_volume_coverage_w1m,887,0.0,0.0,467,0.20892193308550186,1.0
QQQ,2023,surface_call_count_volume_coverage_w1m,887,0.0,0.0,1,1.0,1.0
QQQ,2023,surface_put_volume_w1m,887,0.0,0.0,782,41.0,18415.0
QQQ,2023,surface_put_count_w1m,887,0.0,0.0,322,15.0,1124.0
QQQ,2023,surface_put_close_notional_w1m,887,0.0,0.0,874,2166.0,2629980.0
QQQ,2023,surface_put_signed_volume_w1m,887,0.0,0.0,820,-18390.0,12831.0
QQQ,2023,surface_put_signed_count_w1m,887,0.0,0.002254791431792559,483,-1003.0,1035.0
QQQ,2023,surface_put_signed_close_notional_w1m,887,0.0,0.0,871,-886841.0,2629918.0
QQQ,2023,surface_put_quote_row_coverage_w1m,887,0.0,0.0,44,0.32,1.0
QQQ,2023,surface_put_quote_volume_coverage_w1m,887,0.0,0.0,421,0.33547244965700374,1.0
QQQ,2023,surface_put_price_volume_coverage_w1m,887,0.0,0.0,2,0.9694412479222606,1.0
QQQ,2023,surface_put_signable_volume_coverage_w1m,887,0.0,0.0,421,0.33547244965700374,1.0
QQQ,2023,surface_put_count_volume_coverage_w1m,887,0.0,0.0,1,1.0,1.0
QQQ,2023,surface_directional_pressure_w1m,887,0.0,0.0,869,-0.9999975785869603,1.0
QQQ,2023,surface_volume_imbalance_w1m,887,0.0,0.0,873,-0.9272224781206817,0.9211538461538461
QQQ,2023,surface_count_imbalance_w1m,887,0.0,0.016910935738444193,819,-0.7370892018779343,0.6511627906976745
QQQ,2023,surface_close_notional_imbalance_w1m,887,0.0,0.0,874,-0.9261643149113447,0.9660809637591524
QQQ,2023,surface_quote_row_coverage_w1m,887,0.0,0.0,101,0.42857142857142855,1.0
QQQ,2023,surface_quote_volume_coverage_w1m,887,0.0,0.0,646,0.4371687136393019,1.0
QQQ,2023,surface_price_volume_coverage_w1m,887,0.0,0.0,2,0.9817065287653522,1.0
QQQ,2023,surface_signable_volume_coverage_w1m,887,0.0,0.0,646,0.4277957336780866,1.0
QQQ,2023,surface_count_volume_coverage_w1m,887,0.0,0.0,1,1.0,1.0
QQQ,2023,local_volume_w1m,887,0.0,0.0,694,2.0,16152.0
QQQ,2023,local_count_w1m,887,0.0,0.0,244,1.0,840.0
QQQ,2023,local_close_notional_w1m,887,0.0,0.0,881,302.0,860691.0000000001
QQQ,2023,local_signed_volume_w1m,887,0.0,0.019165727170236752,766,-16152.0,11047.0
QQQ,2023,local_signed_count_w1m,887,0.0,0.020293122886133032,360,-799.0,840.0
QQQ,2023,local_signed_close_notional_w1m,887,0.0,0.019165727170236752,870,-733442.0,860691.0000000001
QQQ,2023,local_buy_sell_close_notional_log_ratio_w1m,887,0.0,0.019165727170236752,870,-13.505505163934174,13.66549199583429
QQQ,2023,local_signed_close_notional_ratio_w1m,887,0.0,0.019165727170236752,102,-1.0,1.0
QQQ,2023,local_quote_row_coverage_w1m,887,0.0,0.0011273957158962795,3,0.0,1.0
QQQ,2023,local_quote_volume_coverage_w1m,887,0.0,0.0011273957158962795,3,0.0,1.0
QQQ,2023,local_price_volume_coverage_w1m,887,0.0,0.0,1,1.0,1.0
QQQ,2023,local_signable_volume_coverage_w1m,887,0.0,0.0011273957158962795,3,0.0,1.0
QQQ,2023,local_count_volume_coverage_w1m,887,0.0,0.0,1,1.0,1.0
QQQ,2023,role_break_pressure_w1m,887,0.0,0.019165727170236752,102,-1.0,1.0
QQQ,2023,surface_call_volume_w5m,887,0.0,0.0,857,626.0,37117.0
QQQ,2023,surface_call_count_w5m,887,0.0,0.0,638,134.0,3412.0
QQQ,2023,surface_call_close_notional_w5m,887,0.0,0.0,874,59655.0,3043483.0
QQQ,2023,surface_call_signed_volume_w5m,887,0.0,0.0,852,-23367.0,23743.0
QQQ,2023,surface_call_signed_count_w5m,887,0.0,0.0011273957158962795,671,-2098.0,2241.0
QQQ,2023,surface_call_signed_close_notional_w5m,887,0.0,0.0,874,-1330967.0,2820102.0
QQQ,2023,surface_call_quote_row_coverage_w5m,887,0.0,0.0,293,0.6463414634146342,1.0
QQQ,2023,surface_call_quote_volume_coverage_w5m,887,0.0,0.0,814,0.4588526805826701,1.0
QQQ,2023,surface_call_price_volume_coverage_w5m,887,0.0,0.0,2,0.995276435856146,1.0
QQQ,2023,surface_call_signable_volume_coverage_w5m,887,0.0,0.0,814,0.4588526805826701,1.0
QQQ,2023,surface_call_count_volume_coverage_w5m,887,0.0,0.0,1,1.0,1.0
QQQ,2023,surface_put_volume_w5m,887,0.0,0.0,839,950.0,53476.0
QQQ,2023,surface_put_count_w5m,887,0.0,0.0,651,164.0,3827.0
QQQ,2023,surface_put_close_notional_w5m,887,0.0,0.0,874,45877.0,3846719.0
QQQ,2023,surface_put_signed_volume_w5m,887,0.0,0.0,844,-22891.0,23396.0
QQQ,2023,surface_put_signed_count_w5m,887,0.0,0.0011273957158962795,669,-1906.0,2893.0
QQQ,2023,surface_put_signed_close_notional_w5m,887,0.0,0.0,873,-1353029.0,3085237.0
QQQ,2023,surface_put_quote_row_coverage_w5m,887,0.0,0.0,273,0.4523809523809524,1.0
QQQ,2023,surface_put_quote_volume_coverage_w5m,887,0.0,0.0,777,0.40113194198797314,1.0
QQQ,2023,surface_put_price_volume_coverage_w5m,887,0.0,0.0,3,0.9717014503006721,1.0
QQQ,2023,surface_put_signable_volume_coverage_w5m,887,0.0,0.0,777,0.38875132649451716,1.0
QQQ,2023,surface_put_count_volume_coverage_w5m,887,0.0,0.0,1,1.0,1.0
QQQ,2023,surface_directional_pressure_w5m,887,0.0,0.0,874,-0.9979391731509065,0.9966943524302473
QQQ,2023,surface_volume_imbalance_w5m,887,0.0,0.0,874,-0.7755957220589155,0.8076923076923077
QQQ,2023,surface_count_imbalance_w5m,887,0.0,0.006764374295377677,865,-0.4043290043290043,0.39520590043023973
QQQ,2023,surface_close_notional_imbalance_w5m,887,0.0,0.0,874,-0.7387181808845074,0.9121455094189314
QQQ,2023,surface_quote_row_coverage_w5m,887,0.0,0.0,521,0.5753424657534246,1.0
QQQ,2023,surface_quote_volume_coverage_w5m,887,0.0,0.0,863,0.44538098449089686,1.0
QQQ,2023,surface_price_volume_coverage_w5m,887,0.0,0.0,3,0.9840413576084514,1.0
QQQ,2023,surface_signable_volume_coverage_w5m,887,0.0,0.0,863,0.43717689368397394,1.0
QQQ,2023,surface_count_volume_coverage_w5m,887,0.0,0.0,1,1.0,1.0
QQQ,2023,local_volume_w5m,887,0.0,0.0,845,37.0,43305.0
QQQ,2023,local_count_w5m,887,0.0,0.0,573,14.0,2827.0
QQQ,2023,local_close_notional_w5m,887,0.0,0.0,886,4942.0,2917363.0
QQQ,2023,local_signed_volume_w5m,887,0.0,0.0,831,-15164.0,15135.0
QQQ,2023,local_signed_count_w5m,887,0.0,0.004509582863585118,551,-781.0,1662.0
